Clf,Theta
GaussianNB,-0.9490560795129587
BernoulliNB,-0.3967482830992509
KNeighborsClassifier(2),-0.060884474247135965
KNeighborsClassifier(3),-0.029008742198683414
KNeighborsClassifier(5),0.14510774875093874
KNeighborsClassifier(8),-0.14054081667121693
DecisionTreeClassifier(),-0.32386729570206074
RandomForestClassifier(3_estimators),-0.6045642482871713
RandomForestClassifier(5_estimators),-0.6813585025155675
RandomForestClassifier,-0.2643401784514293
SVM,0.43871129959549243
MLPClassifier,1.1125130957587992
rand1,-1.0091421512402254
rand2,-1.0091421512402254
rand3,-1.0091421512402254
majoritario,-1.0091421512402254
minoritario,-1.0091421512402254
pessimo,-1.0091421512402254
otimo,3.798139955098703
