,Discriminacao,Dificuldade,Adivinhacao
V1,4.014,-1.200,0.246
V2,4.517,-0.337,0.055
V3,4.016,-1.199,0.247
V4,-13.635,-2.534,0.408
V5,5.377,-0.767,0.078
V6,5.376,-0.767,0.078
V7,5.376,-0.767,0.079
V8,5.375,-0.767,0.079
V9,5.375,-0.767,0.079
V10,5.374,-0.767,0.079
V11,5.373,-0.767,0.079
V12,5.747,-0.321,0.076
V13,4.036,-1.188,0.252
V14,5.372,-0.767,0.080
V15,5.038,-0.357,0.047
V16,5.371,-0.767,0.080
V17,5.371,-0.767,0.080
V18,5.370,-0.767,0.081
V19,5.369,-0.767,0.081
V20,4.049,-1.181,0.255
V21,3.990,-1.833,0.046
V22,5.368,-0.767,0.081
V23,5.743,-0.321,0.077
V24,5.367,-0.768,0.081
V25,3.506,-0.377,0.064
V26,5.038,-0.357,0.047
V27,5.367,-0.768,0.082
V28,5.366,-0.768,0.082
V29,5.365,-0.768,0.082
V30,4.064,-1.174,0.259
V31,2.391,-0.879,0.056
V32,4.066,-1.172,0.260
V33,-35.594,-0.418,0.276
V34,5.364,-0.768,0.083
V35,5.038,-0.357,0.047
V36,5.363,-0.768,0.083
V37,5.363,-0.768,0.083
V38,3.876,0.081,0.065
V39,4.074,-1.168,0.262
V40,5.362,-0.768,0.083
V41,2.391,-0.878,0.056
V42,4.078,-1.166,0.263
V43,5.360,-0.768,0.084
V44,5.360,-0.768,0.084
V45,4.083,-1.163,0.264
V46,5.359,-0.768,0.084
V47,4.087,-1.161,0.266
V48,5.358,-0.768,0.085
V49,2.392,-0.878,0.056
V50,4.091,-1.159,0.267
V51,5.356,-0.768,0.085
V52,1.694,-1.154,0.072
V53,5.356,-0.768,0.085
V54,3.990,-1.833,0.047
V55,2.392,-0.878,0.056
V56,3.990,-1.832,0.047
V57,5.355,-0.768,0.085
V58,5.355,-0.768,0.086
V59,4.100,-1.154,0.269
V60,5.354,-0.768,0.086
V61,5.353,-0.768,0.086
V62,5.352,-0.769,0.086
V63,4.107,-1.150,0.271
V64,5.351,-0.769,0.087
V65,3.431,0.174,0.061
V66,4.111,-1.148,0.272
V67,5.350,-0.769,0.087
V68,-34.948,-0.417,0.238
V69,-8.133,-0.464,0.796
V70,5.350,-0.769,0.087
V71,2.393,-0.877,0.056
V72,5.349,-0.769,0.087
V73,5.349,-0.769,0.088
V74,5.348,-0.769,0.088
V75,5.347,-0.769,0.088
V76,-22.500,-0.467,0.115
V77,-3.311,0.000,0.019
V78,4.517,-0.337,0.055
V79,3.314,-0.328,0.075
V80,-1.649,-4.414,0.792
V81,5.347,-0.769,0.088
V82,4.125,-1.141,0.277
V83,5.346,-0.769,0.088
V84,4.128,-1.139,0.278
V85,2.393,-0.877,0.056
V86,5.345,-0.769,0.089
V87,5.038,-0.357,0.047
V88,-8.282,-0.738,0.037
V89,2.394,-0.876,0.057
V90,5.344,-0.769,0.089
V91,1.832,-1.592,0.063
V92,5.343,-0.769,0.089
V93,5.343,-0.769,0.089
V94,5.342,-0.769,0.090
V95,4.138,-1.134,0.281
V96,4.239,-0.136,0.062
V97,5.341,-0.769,0.090
V98,-4.245,-0.562,0.023
V99,5.720,-0.321,0.085
V100,4.143,-1.132,0.282
V101,4.144,-1.131,0.283
V102,5.339,-0.769,0.091
V103,2.394,-0.876,0.057
V104,5.338,-0.769,0.091
V105,5.338,-0.769,0.091
V106,5.038,-0.357,0.047
V107,5.337,-0.770,0.091
V108,4.152,-1.127,0.285
V109,3.022,0.327,0.018
V110,4.154,-1.126,0.286
V111,1.832,-1.592,0.063
V112,4.155,-1.125,0.286
V113,1.953,-1.539,0.065
V114,5.335,-0.770,0.092
V115,3.332,-0.334,0.077
V116,5.334,-0.770,0.092
V117,4.160,-1.123,0.288
V118,5.714,-0.320,0.087
V119,1.953,-1.539,0.065
V120,3.754,-0.331,0.060
V121,3.990,-1.832,0.047
V122,5.714,-0.320,0.087
V123,5.332,-0.770,0.093
V124,4.165,-1.119,0.290
V125,5.712,-0.320,0.088
V126,-37.944,-0.419,0.276
V127,4.168,-1.118,0.291
V128,3.484,-0.379,0.063
V129,-29.980,-0.434,0.515
V130,4.170,-1.117,0.292
V131,5.329,-0.770,0.094
V132,2.395,-0.876,0.057
V133,5.710,-0.320,0.089
V134,5.328,-0.770,0.094
V135,5.328,-0.770,0.094
V136,5.327,-0.770,0.095
V137,2.395,-0.875,0.057
V138,5.327,-0.770,0.095
V139,5.326,-0.770,0.095
V140,5.326,-0.770,0.095
V141,2.396,-0.875,0.057
V142,5.325,-0.770,0.095
V143,4.184,-1.110,0.297
V144,5.324,-0.770,0.096
V145,5.323,-0.770,0.096
V146,5.038,-0.357,0.048
V147,5.705,-0.320,0.090
V148,4.517,-0.337,0.055
V149,5.322,-0.771,0.096
V150,4.190,-1.106,0.299
V151,5.321,-0.771,0.097
V152,4.193,-1.105,0.300
V153,4.194,-1.104,0.300
V154,2.396,-0.874,0.058
V155,5.319,-0.771,0.097
V156,5.319,-0.771,0.097
V157,1.918,-1.687,0.051
V158,4.198,-1.102,0.302
V159,1.832,-1.592,0.063
V160,4.199,-1.101,0.302
V161,5.317,-0.771,0.098
V162,5.317,-0.771,0.098
V163,4.203,-1.099,0.304
V164,5.316,-0.771,0.098
V165,2.397,-0.874,0.058
V166,5.315,-0.771,0.099
V167,5.314,-0.771,0.099
V168,-6.434,-0.869,0.013
V169,1.918,-1.687,0.051
V170,4.322,-0.105,0.057
V171,4.208,-1.096,0.306
V172,12.383,-0.787,0.208
V173,2.117,-0.356,0.082
V174,5.313,-0.771,0.099
V175,5.313,-0.771,0.099
V176,-4.609,-2.795,0.481
V177,4.211,-1.094,0.307
V178,5.312,-0.771,0.100
V179,5.695,-0.320,0.094
V180,5.311,-0.771,0.100
V181,5.310,-0.771,0.100
V182,4.217,-1.091,0.310
