Clf,Score
GaussianNB,367.18174955696384
minoritario,367.18174955696384
pessimo,367.18174955696384
rand1,410.6954679294616
rand2,432.6376593987894
rand3,438.45772614703736
KNeighborsClassifier(3),469.1517787105632
KNeighborsClassifier(2),471.44062069101267
KNeighborsClassifier(5),471.44062069101267
RandomForestClassifier(5_estimators),472.7389810258296
otimo,472.8368161809714
RandomForestClassifier(3_estimators),472.97649243198424
RandomForestClassifier,474.17186039774884
BernoulliNB,474.56366338014294
KNeighborsClassifier(8),474.56366338014294
DecisionTreeClassifier(),474.56366338014294
SVM,474.56366338014294
MLPClassifier,474.56366338014294
majoritario,474.56366338014294
