Metodo,Acuracia
GaussianNB,0.4001799433131946
BernoulliNB,0.9379382039233237
KNeighborsClassifier(2),0.9336577907063475
KNeighborsClassifier(3),0.9296859849332438
KNeighborsClassifier(5),0.9364110166331022
KNeighborsClassifier(8),0.9388565674647573
DecisionTreeClassifier(),0.9896089729245917
RandomForestClassifier(3_estimators),0.9721843067054525
RandomForestClassifier(5_estimators),0.9752405459834413
RandomForestClassifier,0.9779909748638772
SVM,0.9385507570672038
MLPClassifier,0.9630071977325277
rand1,0.4750499001996008
rand2,0.4930139720558882
rand3,0.49700598802395207
majoritario,0.93812375249501
minoritario,0.06187624750499002
pessimo,0.0
otimo,1.0
