,Discriminacao,Dificuldade,Adivinhacao
V1,3.425,-0.231,0.306
V2,1.979,-1.270,0.215
V3,4.374,-2.208,0.052
V4,2.750,-2.328,0.074
V5,1.998,-2.672,0.091
V6,1.736,-2.635,0.107
V7,0.296,-18.526,0.211
V8,2.750,-2.328,0.074
V9,2.420,-2.237,0.086
V10,2.191,-2.300,0.094
V11,0.921,-2.436,0.115
V12,2.779,-1.933,0.102
V13,3.333,-1.960,0.132
V14,1.054,-1.533,0.137
V15,3.759,-2.227,0.059
V16,2.162,-2.207,0.115
V17,-0.186,8.773,0.057
V18,2.121,-0.764,0.346
V19,2.291,-2.733,0.180
V20,2.256,-1.918,0.141
V21,3.490,-0.218,0.296
V22,1.619,-3.523,0.203
V23,2.064,0.072,0.221
V24,1.841,-2.527,0.097
V25,2.583,-2.529,0.077
V26,0.062,-18.256,0.117
V27,3.759,-2.227,0.059
V28,3.017,-2.156,0.072
V29,2.489,-2.456,0.172
V30,2.489,-2.456,0.172
V31,1.617,-3.526,0.204
V32,3.316,-1.477,0.162
V33,2.653,-2.335,0.084
V34,2.816,-2.499,0.074
V35,2.834,-1.853,0.163
V36,2.837,-1.852,0.164
V37,6.032,-2.267,0.046
V38,-0.825,-2.559,0.035
V39,2.489,-2.456,0.173
V40,1.770,-2.547,0.090
V41,2.563,-2.092,0.103
V42,2.653,-2.334,0.085
V43,-0.766,1.504,0.095
V44,4.566,-0.815,0.377
V45,3.108,-2.697,0.059
V46,2.291,-2.731,0.181
V47,2.291,-2.731,0.182
V48,1.987,-1.405,0.179
V49,2.206,-2.052,0.121
V50,6.032,-2.267,0.046
V51,2.280,-2.879,0.070
V52,1.616,-3.529,0.206
V53,2.490,-2.455,0.174
V54,2.817,-2.499,0.074
V55,2.817,-2.498,0.074
V56,3.337,-1.958,0.133
V57,3.759,-2.227,0.060
V58,3.340,-1.957,0.133
V59,2.495,-2.457,0.168
V60,-2.160,-2.708,0.005
V61,6.032,-2.267,0.046
V62,2.490,-2.454,0.175
V63,2.505,-1.608,0.164
V64,2.841,-1.851,0.165
V65,6.032,-2.267,0.046
V66,2.469,-2.088,0.099
V67,2.490,-2.454,0.175
V68,3.358,-2.172,0.099
V69,-0.125,-20.850,0.550
V70,4.141,-2.357,0.054
V71,2.292,-2.729,0.184
V72,2.263,-2.602,0.083
V73,3.759,-2.227,0.060
V74,2.281,-2.879,0.070
V75,2.126,-2.671,0.096
V76,2.292,-2.729,0.184
V77,2.292,-2.728,0.184
V78,3.519,-1.033,0.284
V79,1.883,-2.342,0.105
V80,2.692,-2.327,0.073
V81,2.292,-2.728,0.185
V82,2.719,-2.329,0.080
V83,2.212,-2.049,0.118
V84,3.344,-1.956,0.134
V85,3.348,-1.955,0.135
V86,2.491,-2.453,0.177
V87,2.292,-2.728,0.185
V88,4.374,-2.208,0.052
V89,-0.427,3.464,0.111
V90,3.840,-2.094,0.062
V91,1.164,-0.094,0.279
V92,6.032,-2.267,0.046
V93,4.141,-2.357,0.054
V94,2.491,-2.452,0.178
V95,3.724,-2.961,0.054
V96,-2.761,-2.360,0.004
V97,2.742,1.735,0.211
V98,2.583,-2.528,0.078
V99,2.263,-2.602,0.083
V100,2.579,-2.309,0.095
V101,-1.381,-1.973,0.195
V102,5.370,-0.996,0.397
V103,-0.446,4.771,0.111
V104,2.491,-2.452,0.178
V105,1.129,-1.715,0.107
V106,4.141,-2.357,0.055
V107,3.150,-2.151,0.064
V108,4.141,-2.357,0.055
V109,2.197,-2.304,0.093
V110,2.708,-2.252,0.173
V111,2.292,-2.726,0.187
V112,3.724,-2.961,0.055
V113,4.374,-2.208,0.052
V114,2.715,-1.884,0.160
V115,2.123,-1.955,0.122
V116,2.948,-1.606,0.134
V117,1.904,-2.319,0.108
V118,2.264,-2.602,0.083
V119,4.141,-2.357,0.055
V120,2.420,-2.236,0.086
V121,-0.920,2.407,0.076
V122,2.064,-2.668,0.090
V123,2.491,-2.451,0.180
V124,2.191,-2.484,0.210
V125,1.504,-2.800,0.100
V126,2.922,-2.159,0.077
V127,2.812,-1.777,0.111
V128,2.420,-2.236,0.086
V129,3.351,-1.953,0.135
V130,2.771,-2.160,0.082
V131,4.374,-2.207,0.052
V132,1.714,-3.575,0.082
V133,1.799,-2.384,0.095
V134,2.488,-2.320,0.100
V135,-0.843,-0.058,0.081
V136,2.264,-2.601,0.084
V137,3.759,-2.227,0.060
V138,2.471,-2.232,0.091
V139,3.778,1.876,0.082
V140,4.374,-2.207,0.053
V141,1.920,-2.865,0.201
V142,2.471,-2.232,0.091
V143,2.025,-1.242,0.223
V144,2.719,-2.329,0.080
V145,2.492,-2.450,0.181
V146,-2.012,-2.297,0.009
V147,3.759,-2.227,0.060
V148,4.374,-2.207,0.053
V149,2.293,-2.725,0.188
