Clf,Score
KNeighborsClassifier(2),115.28836595292776
majoritario,115.28836595292776
KNeighborsClassifier(8),399.0022009884324
KNeighborsClassifier(5),402.5775021976073
KNeighborsClassifier(3),402.77894159003444
rand3,414.25963865625613
pessimo,417.7237436497298
SVM,418.0599129635024
rand1,423.1293649960328
rand2,423.8269254564588
BernoulliNB,433.33175483331485
RandomForestClassifier(5_estimators),440.83194499881165
DecisionTreeClassifier(),441.33989866148863
GaussianNB,446.58943229071326
RandomForestClassifier(3_estimators),446.8488627340193
RandomForestClassifier,448.16579960943415
MLPClassifier,453.04389829373304
otimo,455.89165953732964
minoritario,458.7471863643884
