Clf,Score
KNeighborsClassifier(2),152.03125495295905
majoritario,152.03125495295905
KNeighborsClassifier(8),423.60348021739907
KNeighborsClassifier(5),426.9401495896197
KNeighborsClassifier(3),427.1278925374374
rand3,437.78244368429495
pessimo,440.9786089830559
SVM,441.2882460288307
rand1,445.9437778632778
rand2,446.581980436036
BernoulliNB,455.1789538908889
RandomForestClassifier(5_estimators),461.7075918813859
DecisionTreeClassifier(),462.1348213478346
minoritario,462.92982985520194
GaussianNB,466.3053230715792
RandomForestClassifier(3_estimators),466.4913868719542
RandomForestClassifier,467.37982978940835
MLPClassifier,470.1138478706339
otimo,471.15633704364626
