Metodo,Acuracia
GaussianNB,0.8146780606492197
BernoulliNB,0.8858868909856982
KNeighborsClassifier(2),0.7971230194053766
KNeighborsClassifier(3),0.8039534745712421
KNeighborsClassifier(5),0.7961468162126877
KNeighborsClassifier(8),0.7876114177200166
DecisionTreeClassifier(),0.9049023796807312
RandomForestClassifier(3_estimators),0.925384250192867
RandomForestClassifier(5_estimators),0.9353860305026409
RandomForestClassifier,0.9441617708147885
SVM,0.8346733131564893
MLPClassifier,0.9263568927660077
rand1,0.5
rand2,0.478
rand3,0.472
majoritario,0.606
minoritario,0.394
pessimo,0.0
otimo,1.0
