,Discriminacao,Dificuldade,Adivinhacao
V1,7.968,-0.578,0.479
V2,-0.822,-2.025,0.005
V3,1.722,-1.473,0.225
V4,2.107,-2.377,0.104
V5,4.700,-1.969,0.071
V6,6.388,-1.700,0.027
V7,3.512,-2.379,0.071
V8,1.226,-2.667,0.185
V9,3.562,-2.373,0.076
V10,1.566,-1.438,0.033
V11,0.212,26.847,0.354
V12,3.635,-2.364,0.080
V13,5.842,-1.801,0.054
V14,5.842,-1.801,0.054
V15,3.350,-2.672,0.054
V16,0.527,-8.703,0.084
V17,3.874,-2.206,0.058
V18,9.551,-0.387,0.578
V19,3.310,-1.242,0.005
V20,8.997,-0.158,0.588
V21,3.459,-2.385,0.063
V22,-0.437,-2.822,0.010
V23,3.111,-2.697,0.076
V24,1.405,-1.374,0.037
V25,1.362,-3.811,0.079
V26,4.732,-1.968,0.075
V27,2.621,-1.896,0.146
V28,0.410,-1.936,0.068
V29,6.945,-0.651,0.302
V30,0.270,-3.109,0.095
V31,1.362,-3.811,0.080
V32,1.362,-3.810,0.080
V33,2.761,-1.410,0.020
V34,2.138,-2.355,0.117
V35,2.315,-1.467,0.412
V36,11.743,-0.319,0.472
V37,6.005,-1.691,0.020
V38,3.007,-2.725,0.070
V39,1.072,-3.373,0.110
V40,2.303,-1.142,0.540
V41,6.532,-1.705,0.028
V42,2.715,-1.850,0.179
V43,6.361,-1.698,0.027
V44,6.532,-1.705,0.028
V45,0.612,-3.838,0.124
V46,12.041,0.015,0.738
V47,4.700,-1.969,0.071
V48,3.625,-0.553,0.195
V49,5.014,-1.878,0.054
V50,2.765,-1.409,0.020
V51,1.685,-2.264,0.167
V52,1.431,-2.758,0.131
V53,1.369,-2.470,0.194
V54,6.362,-1.698,0.027
V55,1.342,6.570,0.462
V56,2.391,-0.843,0.644
V57,2.761,-1.410,0.020
V58,2.176,-0.256,0.725
V59,6.634,-1.120,0.277
V60,2.392,-2.104,0.139
V61,3.111,-2.697,0.076
V62,3.546,-2.376,0.076
V63,6.006,-1.691,0.020
V64,0.453,-19.150,0.203
V65,0.939,-1.198,0.023
V66,0.498,-1.367,0.081
V67,3.436,-1.373,0.038
V68,3.562,-2.378,0.057
V69,5.962,-1.992,0.051
V70,3.060,-2.711,0.072
V71,2.475,-1.546,0.044
V72,4.011,-0.310,0.489
V73,9.483,-0.396,0.574
V74,6.533,-1.705,0.028
V75,4.910,-1.961,0.087
V76,1.755,-2.843,0.079
V77,4.778,-1.965,0.079
V78,2.405,-1.451,0.015
V79,3.220,-0.844,0.125
V80,2.986,-2.737,0.059
V81,3.253,-0.834,0.130
V82,2.986,-2.737,0.059
V83,6.009,-1.910,0.050
V84,0.451,-19.260,0.203
V85,1.603,-1.891,0.078
V86,11.011,-0.518,0.300
V87,8.929,-0.555,0.212
V88,10.970,-0.454,0.386
V89,1.091,-3.298,0.131
V90,6.008,-1.691,0.020
V91,5.900,-1.803,0.056
V92,2.285,-1.156,0.535
V93,2.152,-2.355,0.117
V94,2.078,-2.389,0.097
V95,1.670,-2.577,0.099
V96,3.559,-2.378,0.056
V97,5.546,-1.793,0.046
V98,3.857,-2.204,0.063
V99,5.642,-1.793,0.049
V100,10.979,-0.517,0.300
V101,0.446,-19.492,0.204
V102,2.756,-2.726,0.195
V103,3.044,-1.437,0.102
V104,3.463,-1.373,0.038
V105,1.495,-1.230,0.085
V106,7.772,-1.530,0.004
V107,6.305,-0.618,0.081
V108,2.757,-2.724,0.196
V109,1.889,-2.228,0.127
V110,5.207,-1.883,0.069
V111,4.623,-2.061,0.094
V112,9.637,-0.377,0.581
V113,2.414,-0.827,0.650
V114,1.700,-0.565,0.625
V115,4.873,-1.963,0.083
V116,8.036,-0.573,0.422
V117,2.426,-2.093,0.149
V118,3.908,-2.204,0.057
V119,1.638,-2.379,0.099
V120,-4.859,-2.016,0.025
V121,5.763,-1.798,0.052
V122,-0.202,-2.704,0.070
V123,1.580,-1.991,0.141
V124,5.575,-1.792,0.047
V125,2.965,-2.739,0.065
V126,3.158,-2.685,0.080
V127,13.374,-0.396,0.264
V128,1.966,-0.188,0.336
V129,2.572,-0.663,0.010
V130,6.362,-1.698,0.027
V131,-0.196,-4.296,0.029
V132,6.036,-1.811,0.057
V133,3.303,-1.361,0.038
V134,4.118,-2.182,0.089
V135,6.714,-1.708,0.030
V136,3.230,-2.360,0.192
V137,11.890,-0.171,0.200
V138,8.151,-0.714,0.417
V139,0.432,-20.146,0.208
V140,0.509,-0.755,0.016
V141,6.533,-1.705,0.028
V142,3.874,-2.206,0.058
V143,12.757,-0.132,0.401
V144,2.965,-2.739,0.065
V145,5.842,-1.801,0.054
V146,2.986,-2.736,0.059
V147,1.431,-2.758,0.131
V148,0.828,-3.075,0.101
V149,2.285,-2.148,0.100
V150,4.856,-1.963,0.084
V151,4.499,-2.064,0.088
V152,-1.225,-1.586,0.003
V153,0.429,-20.291,0.208
V154,0.452,-1.855,0.072
V155,4.484,-2.065,0.087
V156,3.875,-2.201,0.067
V157,2.182,-1.451,0.141
V158,0.426,-20.441,0.209
V159,3.535,-2.375,0.071
V160,3.350,-2.672,0.054
V161,1.825,-2.793,0.102
V162,1.768,-2.833,0.084
V163,1.506,-1.779,0.106
V164,5.019,-1.877,0.057
V165,9.888,-0.388,0.532
V166,-0.547,-1.626,0.006
V167,5.104,-0.425,0.401
V168,5.759,-2.152,0.051
V169,4.318,-0.134,0.554
V170,3.060,-2.711,0.072
V171,2.762,-2.718,0.198
V172,3.406,-1.370,0.038
V173,1.491,2.923,0.306
V174,2.107,-2.377,0.104
V175,0.009,166.074,0.235
V176,6.014,-1.690,0.020
V177,-0.957,-1.815,0.001
V178,5.981,-2.412,0.050
V179,-0.655,0.752,0.044
V180,7.775,-1.531,0.004
V181,3.939,-2.343,0.054
V182,2.765,-2.714,0.200
V183,7.934,-0.576,0.420
V184,2.766,-2.713,0.200
V185,-0.957,0.673,0.024
V186,2.429,0.001,0.090
V187,0.407,-21.463,0.213
V188,2.603,-1.273,0.035
V189,2.965,-2.739,0.065
V190,1.689,-2.254,0.171
V191,-0.295,-2.374,0.114
V192,6.488,-0.817,0.364
V193,-0.121,4.503,0.178
V194,2.767,-2.710,0.202
V195,2.768,-2.709,0.202
V196,4.778,-1.965,0.080
V197,2.107,-2.377,0.105
V198,-3.339,-2.286,0.033
V199,0.397,-22.063,0.215
V200,1.921,-1.318,0.018
V201,5.842,-1.801,0.054
V202,14.439,-0.374,0.332
V203,0.081,1.901,0.164
V204,1.258,-0.827,0.009
V205,5.981,-2.412,0.050
V206,0.393,-22.278,0.215
V207,1.091,-3.298,0.131
V208,2.249,-1.689,0.070
V209,0.760,-2.432,0.271
V210,-0.291,11.549,0.106
V211,5.043,-1.878,0.059
V212,3.060,-2.711,0.072
V213,3.874,-0.705,0.335
V214,2.381,-2.109,0.135
V215,2.179,-1.351,0.017
V216,4.092,1.803,0.338
V217,1.583,-1.657,0.057
V218,1.380,-1.706,0.055
V219,2.438,-0.812,0.656
V220,1.682,-2.270,0.163
V221,2.377,-1.303,0.023
V222,1.669,-0.915,0.008
V223,1.362,-3.810,0.080
V224,4.856,-1.963,0.084
V225,4.811,1.826,0.332
V226,5.211,-1.883,0.068
V227,-0.069,-16.528,0.263
V228,0.390,-22.501,0.216
V229,4.273,-2.081,0.055
V230,2.986,-2.736,0.059
V231,5.575,-1.792,0.047
V232,10.930,-0.516,0.300
V233,2.986,-2.736,0.060
V234,3.874,-2.206,0.058
V235,5.981,-2.412,0.050
V236,8.452,-0.421,0.798
V237,7.226,-0.670,0.541
V238,0.939,-1.878,0.049
V239,3.857,-2.204,0.063
V240,9.639,-0.375,0.581
V241,1.124,-0.789,0.033
V242,2.254,-1.685,0.067
V243,6.715,-1.708,0.030
V244,5.575,-1.792,0.047
V245,3.469,-2.386,0.062
V246,0.401,-4.827,0.132
V247,3.908,-2.204,0.057
V248,1.321,-0.779,0.025
V249,1.376,-2.448,0.203
V250,5.343,-1.882,0.076
V251,2.698,-0.872,0.643
V252,-1.381,-1.650,0.000
V253,3.562,-2.373,0.077
V254,2.294,-1.486,0.405
V255,2.750,-1.531,0.155
V256,7.778,-1.531,0.004
V257,1.362,-3.810,0.080
V258,10.224,-0.378,0.470
V259,0.382,-22.973,0.217
V260,13.078,-0.378,0.332
V261,1.552,-1.699,0.149
V262,5.567,-1.795,0.044
V263,4.206,-2.080,0.060
V264,1.637,-2.206,0.080
V265,5.394,-1.729,0.057
V266,5.710,-1.803,0.045
V267,5.140,-1.881,0.065
V268,8.278,-0.155,0.542
V269,1.373,-3.213,0.097
V270,1.091,-3.297,0.132
V271,5.117,-1.883,0.049
V272,1.791,-2.818,0.089
V273,2.473,-1.551,0.043
V274,6.960,0.344,0.595
V275,3.948,-2.343,0.053
V276,2.248,-1.695,0.062
V277,1.420,-2.808,0.097
V278,3.562,-2.372,0.077
V279,3.409,-0.254,0.230
V280,0.365,0.843,0.127
V281,2.950,-0.833,0.008
V282,7.378,-0.663,0.389
V283,1.921,-1.318,0.018
V284,3.060,-2.710,0.072
V285,1.849,-0.566,0.254
V286,2.185,-1.243,0.505
V287,2.476,-1.552,0.042
V288,0.374,-23.481,0.219
V289,1.400,-1.324,0.017
V290,0.370,-23.750,0.219
V291,1.215,-1.984,0.337
V292,14.436,-0.374,0.332
V293,6.716,-1.708,0.031
V294,4.059,-2.199,0.055
V295,5.844,-1.801,0.056
V296,3.158,-2.684,0.080
V297,1.091,-3.296,0.132
V298,-2.017,-1.674,0.000
V299,2.986,-2.736,0.060
V300,8.737,-0.029,0.597
V301,3.972,-2.192,0.077
V302,2.336,-0.797,0.010
V303,5.211,-1.883,0.068
V304,0.366,-24.030,0.220
V305,5.208,-1.883,0.069
V306,5.633,-1.795,0.047
V307,1.890,-2.238,0.115
V308,5.097,-1.882,0.051
V309,3.243,-2.343,0.213
V310,1.838,-2.087,0.098
V311,0.902,-5.205,0.083
V312,2.918,-1.462,0.081
V313,2.986,-2.736,0.060
V314,5.045,-1.878,0.057
V315,3.111,-2.697,0.076
V316,0.493,-4.406,0.160
V317,0.498,17.071,0.426
V318,2.117,-2.374,0.106
V319,1.373,-2.459,0.199
V320,-1.999,-1.493,0.023
V321,0.797,-2.262,0.085
V322,5.281,-1.883,0.073
V323,0.800,-0.600,0.028
V324,2.533,-0.751,0.678
V325,9.626,-0.379,0.581
V326,4.542,-2.182,0.052
V327,0.933,-3.011,0.197
V328,10.237,0.104,0.569
V329,-0.282,-6.307,0.088
V330,1.889,-2.246,0.108
V331,2.525,-0.756,0.677
V332,3.709,-2.355,0.085
V333,0.527,-8.702,0.084
V334,3.866,-2.202,0.067
V335,9.889,-0.392,0.531
V336,7.233,-0.635,0.371
V337,3.078,-1.434,0.108
V338,6.024,-1.688,0.020
V339,2.005,-1.771,0.049
V340,3.405,-1.368,0.037
V341,0.436,-1.760,0.054
V342,1.373,-3.213,0.097
V343,-0.525,-1.561,0.032
V344,2.116,-1.981,0.124
V345,2.052,-2.402,0.089
V346,4.129,-1.197,0.006
V347,-3.725,-1.976,0.219
V348,9.455,-0.400,0.573
V349,6.388,-1.700,0.027
V350,5.709,-2.152,0.051
V351,1.694,-2.241,0.179
V352,1.339,-1.258,0.051
V353,1.609,-1.307,0.051
V354,5.092,-1.880,0.062
V355,10.566,-0.138,0.474
V356,3.350,-2.672,0.054
V357,2.160,-2.352,0.120
V358,-3.823,-1.220,0.041
V359,0.354,-24.937,0.222
V360,5.981,-2.412,0.050
V361,1.700,-2.227,0.187
V362,0.349,-25.264,0.223
V363,6.716,-1.708,0.031
V364,2.064,-1.239,0.202
V365,0.345,-25.605,0.223
V366,3.954,-2.193,0.077
V367,2.337,-0.946,0.245
V368,1.370,-2.469,0.195
V369,5.144,-1.881,0.067
V370,3.111,-2.697,0.076
V371,5.842,-1.801,0.054
V372,1.109,-2.845,0.203
V373,-3.752,-2.249,0.016
V374,-0.387,2.912,0.120
V375,0.340,-25.960,0.224
V376,1.941,-0.542,0.004
V377,-0.968,-3.667,0.047
V378,4.601,-1.977,0.055
V379,6.947,-0.650,0.302
V380,0.167,0.350,0.186
V381,1.815,-1.250,0.018
V382,1.494,-2.406,0.158
V383,5.775,-1.797,0.053
V384,0.678,-3.704,0.115
V385,6.603,-1.708,0.028
V386,1.618,-1.275,0.156
V387,2.052,-2.402,0.089
V388,3.801,-2.346,0.092
V389,1.431,-2.754,0.134
V390,3.024,-1.436,0.098
V391,3.513,2.613,0.458
V392,1.108,-1.060,0.063
V393,0.603,-0.048,0.024
V394,2.072,-2.389,0.096
V395,3.496,-2.380,0.066
V396,2.280,-1.499,0.399
V397,3.060,-2.710,0.072
V398,4.118,-2.181,0.089
V399,1.811,-2.804,0.095
V400,1.387,-1.162,0.017
V401,4.299,-2.072,0.074
