Clf,Score
majoritario,105.16107779039527
KNeighborsClassifier(5),366.7169874654865
KNeighborsClassifier(8),373.1595655193056
KNeighborsClassifier(3),377.2073747368294
pessimo,384.22055638444573
KNeighborsClassifier(2),385.48956999025404
minoritario,395.38065008441504
rand3,403.2706964898349
rand2,404.75690530071836
RandomForestClassifier(3_estimators),428.13449413352004
rand1,431.39819298264274
RandomForestClassifier(5_estimators),431.7014143526563
GaussianNB,442.07460993174004
RandomForestClassifier,442.90693042459674
DecisionTreeClassifier(),443.0729969002449
BernoulliNB,451.22658971985214
SVM,453.255332753854
MLPClassifier,463.97394633646263
otimo,465.67948699848773
