Clf,Score
majoritario,129.8749628127028
KNeighborsClassifier(5),379.851515220389
KNeighborsClassifier(8),385.9114727726142
KNeighborsClassifier(3),389.6971490409706
pessimo,396.21939585789335
KNeighborsClassifier(2),397.39546285777226
minoritario,406.54588143932625
rand3,413.8801805731383
rand2,415.27093268135513
RandomForestClassifier(3_estimators),437.54884652635695
rand1,440.6866906077209
RandomForestClassifier(5_estimators),440.9779488373077
GaussianNB,450.8622520929067
RandomForestClassifier,451.6457272320447
DecisionTreeClassifier(),451.80181571231054
BernoulliNB,459.303664105085
SVM,461.076921863368
MLPClassifier,469.1737784473531
otimo,470.2960965924625
