Metodo,Acuracia
GaussianNB,0.9099983354602452
BernoulliNB,0.9393816234811074
KNeighborsClassifier(2),0.7285163402319259
KNeighborsClassifier(3),0.7958303279143316
KNeighborsClassifier(5),0.8084738944681795
KNeighborsClassifier(8),0.8151736669810798
DecisionTreeClassifier(),0.9218942462409144
RandomForestClassifier(3_estimators),0.8624091438717196
RandomForestClassifier(5_estimators),0.8940048826499473
RandomForestClassifier,0.9278505243300229
SVM,0.9204183543250292
MLPClassifier,0.9148365976807413
rand1,0.34930139720558884
rand2,0.36926147704590817
rand3,0.3213572854291417
majoritario,0.5189620758483033
minoritario,0.23952095808383234
pessimo,0.0
otimo,1.0
