,Discriminacao,Dificuldade,Adivinhacao
V1,23.164,0.762,0.048
V2,17.129,0.642,0.060
V3,0.115,94.888,0.045
V4,0.215,21.155,0.010
V5,14.592,0.604,0.013
V6,-0.196,-14.695,0.002
V7,-14.725,-0.490,0.000
V8,-17.133,-0.474,0.000
V9,15.260,0.584,0.129
V10,-0.070,-61.638,0.026
V11,-0.437,4.195,0.001
V12,-4.941,-0.912,0.000
V13,14.870,0.704,0.024
V14,20.393,1.687,0.252
V15,-12.869,-0.600,0.013
V16,3.232,0.816,0.255
V17,-0.394,4.603,0.001
V18,-0.391,5.353,0.003
V19,-0.220,-8.153,0.000
V20,-0.312,-6.978,0.000
V21,18.226,1.446,0.282
V22,1.240,3.017,0.170
V23,-0.198,-17.735,0.003
V24,15.338,0.684,0.048
V25,-7.867,-0.429,0.000
V26,-0.419,4.521,0.001
V27,-0.480,-5.731,0.000
V28,25.172,0.588,0.118
V29,0.001,4557.609,0.019
V30,3.877,0.873,0.291
V31,-13.462,-0.565,0.012
V32,-0.234,3.630,0.003
V33,-13.485,-0.547,0.000
V34,-0.185,-8.462,0.001
V35,-12.938,-0.574,0.000
V36,13.478,0.655,0.014
V37,-0.181,-8.591,0.001
V38,-0.678,-3.640,0.000
V39,-4.101,-0.917,0.000
V40,0.498,-0.305,0.024
V41,-12.839,-0.587,0.000
V42,-0.462,-5.897,0.000
V43,-0.116,-19.195,0.005
V44,-0.269,-7.479,0.000
V45,-0.368,5.682,0.003
V46,-0.257,-6.485,0.000
V47,-3.218,-3.933,0.076
V48,19.042,0.629,0.107
V49,-13.811,-0.695,0.000
V50,-0.154,11.342,0.051
V51,18.947,0.624,0.060
V52,-0.311,6.886,0.007
V53,-0.226,-7.472,0.001
V54,5.452,0.639,0.131
V55,-13.350,-0.578,0.012
V56,-0.763,-2.804,0.000
V57,20.179,0.602,0.059
V58,-6.827,-0.504,0.000
V59,-0.337,-5.336,0.000
V60,-0.305,1.676,0.000
V61,-0.057,28.577,0.069
V62,-0.319,7.705,0.005
V63,0.532,0.160,0.002
V64,-14.823,-0.489,0.000
V65,5.504,7.211,0.038
V66,-0.349,6.968,0.007
V67,-0.326,5.014,0.002
V68,-0.128,-18.813,0.004
V69,-0.240,-9.923,0.004
V70,-3.198,-1.103,0.000
V71,6.469,0.977,0.059
V72,-0.619,-4.314,0.000
V73,3.925,0.624,0.196
V74,23.504,1.965,0.234
V75,-14.230,-0.536,0.000
V76,-3.661,-0.548,0.000
V77,-0.262,-7.673,0.000
V78,-0.411,-6.043,0.000
V79,-0.411,4.713,0.001
V80,21.883,0.637,0.129
V81,-0.228,-8.817,0.001
V82,-0.371,-6.977,0.000
V83,15.802,0.685,0.048
V84,-0.404,4.622,0.001
V85,24.439,1.742,0.216
V86,-0.339,-5.946,0.000
V87,-14.461,-0.571,0.000
V88,0.909,-0.541,0.040
V89,-0.349,6.428,0.007
V90,-0.190,-9.822,0.001
V91,-0.315,-6.921,0.000
V92,-0.316,4.834,0.002
V93,0.757,-1.058,0.004
V94,0.340,3.612,0.496
V95,6.089,0.910,0.036
V96,-0.420,4.509,0.001
V97,6.744,1.367,0.381
V98,-0.326,7.123,0.006
V99,-0.348,5.575,0.003
V100,14.232,0.706,0.023
V101,3.347,5.851,0.126
V102,-0.135,-12.566,0.002
V103,-0.277,-7.273,0.000
V104,-0.318,0.221,0.000
V105,6.931,0.990,0.071
V106,-5.827,-0.840,0.000
V107,6.839,0.967,0.036
V108,-4.793,-1.023,0.000
V109,-2.794,-1.252,0.000
V110,-2.662,-0.937,0.000
V111,-0.423,4.639,0.001
V112,-0.191,10.576,0.043
V113,-3.647,-3.991,0.128
V114,-0.394,-8.173,0.000
V115,-0.091,16.016,0.063
V116,-5.285,-0.954,0.000
V117,-0.411,-6.043,0.000
V118,-12.373,-0.583,0.000
V119,-0.218,-10.346,0.001
V120,0.301,-0.689,0.008
V121,0.701,-0.797,0.015
V122,-5.457,-0.805,0.000
V123,-13.589,-0.548,0.000
V124,12.877,0.600,0.083
V125,17.660,0.626,0.119
V126,-0.307,6.173,0.005
V127,-0.338,-6.201,0.000
V128,-0.303,0.441,0.000
V129,25.007,0.738,0.084
V130,-13.417,-0.547,0.000
V131,3.237,0.908,0.314
V132,-12.382,-0.596,0.000
V133,5.488,0.457,0.337
V134,5.021,6.326,0.110
V135,4.707,7.207,0.209
V136,-13.160,-0.576,0.011
V137,-0.373,4.936,0.001
V138,-0.435,-4.331,0.000
V139,-0.478,-5.229,0.000
V140,-0.435,4.505,0.001
V141,19.852,0.669,0.083
V142,1.947,3.572,0.193
V143,-7.272,-0.467,0.000
V144,-0.158,8.019,0.032
V145,13.959,0.681,0.023
V146,-1.060,-4.285,0.001
V147,-6.390,-0.558,0.000
V148,-0.312,-6.979,0.000
V149,-14.525,-0.540,0.000
V150,-12.877,-0.610,0.011
V151,20.352,0.671,0.096
V152,4.114,7.182,0.185
V153,23.133,1.709,0.281
V154,3.867,6.379,0.140
V155,12.017,1.295,0.376
V156,-14.795,-0.520,0.000
V157,13.141,0.659,0.059
V158,-2.144,-1.453,0.000
V159,-0.350,6.953,0.007
V160,16.005,0.613,0.024
V161,-14.040,-0.571,0.011
V162,-2.927,-1.266,0.000
V163,-14.983,-0.523,0.000
V164,31.068,0.610,0.239
V165,-14.231,-0.537,0.011
V166,-0.347,-7.159,0.000
V167,-0.964,-3.249,0.000
V168,-13.664,-0.592,0.000
V169,-0.265,-7.862,0.000
V170,-2.831,-1.353,0.000
V171,-0.325,5.038,0.002
V172,17.126,0.706,0.060
V173,-14.526,-0.558,0.000
V174,-0.736,-4.037,0.001
V175,17.395,0.553,0.192
V176,-0.279,-8.099,0.000
V177,-0.478,-5.229,0.000
V178,-0.199,-10.520,0.001
V179,14.310,0.608,0.060
V180,-5.493,-0.513,0.000
V181,16.530,0.686,0.060
V182,-0.378,4.871,0.001
V183,0.297,-2.740,0.034
V184,4.351,4.602,0.119
V185,-0.185,8.551,0.035
V186,-0.330,1.549,0.000
V187,-13.766,-0.565,0.012
V188,15.861,0.686,0.059
V189,-0.411,-6.043,0.000
V190,1.193,-0.475,0.000
V191,0.845,-0.309,0.001
V192,-0.388,4.540,0.001
V193,-0.437,4.200,0.001
V194,-14.222,-0.514,0.000
V195,-0.403,4.393,0.001
V196,32.326,0.612,0.215
V197,16.467,0.555,0.287
V198,37.406,0.666,0.356
V199,17.433,0.644,0.059
V200,15.302,0.661,0.047
V201,-0.222,9.417,0.038
V202,-0.306,-8.555,0.003
V203,-0.306,7.169,0.010
V204,27.212,0.364,0.083
V205,-0.307,-6.564,0.000
V206,0.887,7.092,0.268
V207,5.197,0.563,0.287
V208,-0.135,-12.531,0.002
V209,3.808,0.765,0.317
V210,-0.217,-3.764,0.001
V211,21.361,0.637,0.155
V212,10.675,1.427,0.313
V213,-0.420,4.161,0.001
V214,-0.198,-12.460,0.007
V215,-0.411,-6.043,0.000
V216,21.985,0.740,0.059
V217,-0.370,4.252,0.001
V218,-15.231,-0.526,0.012
V219,-0.171,12.956,0.035
V220,-2.877,-4.392,0.068
V221,5.357,0.661,0.182
V222,-13.499,-0.578,0.000
V223,-16.299,-0.507,0.011
V224,-0.101,19.585,0.057
V225,-14.402,-0.556,0.000
V226,-12.538,-0.611,0.012
V227,-14.113,-0.537,0.000
V228,-0.158,-12.995,0.004
V229,-13.343,-0.577,0.000
V230,-0.273,-8.285,0.000
