Clf,Score
KNeighborsClassifier(8),22.738372370656755
RandomForestClassifier(3_estimators),22.738372370656755
RandomForestClassifier(5_estimators),22.738372370656755
RandomForestClassifier,22.738372370656755
MLPClassifier,22.738372370656755
otimo,22.742505282734253
DecisionTreeClassifier(),23.611911444843578
KNeighborsClassifier(2),28.018111096580352
KNeighborsClassifier(3),28.034272018843886
KNeighborsClassifier(5),29.028086449148354
GaussianNB,153.45955757209848
rand1,163.21191834655806
minoritario,163.54733496733738
pessimo,163.54733496733738
rand3,165.10092335822722
rand2,165.11361756220512
BernoulliNB,169.45863401752877
SVM,172.12583808367316
majoritario,172.12583808367316
