Clf,Score
SVM,180.92528870621723
majoritario,180.92528870621723
BernoulliNB,203.5314453596578
rand2,204.81787127839806
rand3,204.82794182080582
minoritario,206.04589662823963
pessimo,206.04589662823963
rand1,206.3026263643304
GaussianNB,222.3128740508253
KNeighborsClassifier(5),226.45784538381253
KNeighborsClassifier(3),230.43527872883416
KNeighborsClassifier(2),230.50014831526826
DecisionTreeClassifier(),283.06845269417306
otimo,346.3685758945801
KNeighborsClassifier(8),346.73837237065686
RandomForestClassifier(3_estimators),346.73837237065686
RandomForestClassifier(5_estimators),346.73837237065686
RandomForestClassifier,346.73837237065686
MLPClassifier,346.73837237065686
