Metodo,Acuracia
GaussianNB,0.4365134099616858
BernoulliNB,0.4045306513409962
KNeighborsClassifier(2),0.41914272030651334
KNeighborsClassifier(3),0.4482519157088123
KNeighborsClassifier(5),0.47048371647509574
KNeighborsClassifier(8),0.4933716475095786
DecisionTreeClassifier(),0.7175239463601533
RandomForestClassifier(3_estimators),0.7057758620689655
RandomForestClassifier(5_estimators),0.705756704980843
RandomForestClassifier,0.757816091954023
SVM,0.34697318007662836
MLPClassifier,0.3990229885057472
rand1,0.13
rand2,0.152
rand3,0.14
majoritario,0.346
minoritario,0.028
pessimo,0.0
otimo,1.0
