,Discriminacao,Dificuldade,Adivinhacao
V1,4.743,-1.024,0.498
V2,5.158,-1.212,0.012
V3,7.851,-0.273,0.096
V4,1.632,-4.279,0.066
V5,7.016,-0.318,0.011
V6,3.806,-0.532,0.115
V7,7.745,-0.291,0.011
V8,12.474,0.583,0.039
V9,3.186,-2.820,0.156
V10,5.516,-1.225,0.110
V11,3.159,-3.369,0.048
V12,4.444,0.021,0.095
V13,-2.254,-6.467,0.531
V14,5.603,-1.226,0.111
V15,3.019,0.152,0.027
V16,7.016,-0.318,0.011
V17,3.178,-2.824,0.155
V18,3.591,-0.612,0.013
V19,2.392,-0.955,0.013
V20,2.918,-0.615,0.013
V21,5.407,-1.237,0.109
V22,5.158,-1.212,0.012
V23,4.640,-2.721,0.230
V24,3.126,-2.091,0.069
V25,5.497,-0.014,0.011
V26,4.382,-2.183,0.052
V27,3.828,-1.702,0.025
V28,1.681,-2.605,0.158
V29,5.159,-1.212,0.012
V30,3.811,-2.362,0.046
V31,3.012,-2.431,0.059
V32,5.159,-1.212,0.012
V33,1.632,-4.279,0.067
V34,3.828,-1.702,0.025
V35,4.694,-1.447,0.208
V36,4.646,-2.719,0.232
V37,8.174,-0.482,0.011
V38,5.407,-1.237,0.108
V39,3.811,-2.362,0.046
V40,5.140,-1.955,0.153
V41,14.373,0.217,0.211
V42,8.174,-0.482,0.011
V43,0.243,58.513,0.486
V44,5.404,-1.167,0.221
V45,3.092,-3.138,0.234
V46,1.935,-3.234,0.068
V47,3.154,-2.831,0.156
V48,5.160,-1.213,0.012
V49,3.725,-0.447,0.015
V50,3.812,-2.362,0.046
V51,5.160,-1.213,0.012
V52,5.160,-1.213,0.012
V53,7.618,-0.130,0.010
V54,5.160,-1.213,0.012
V55,2.387,-1.126,0.108
V56,8.176,-0.482,0.011
V57,5.160,-1.213,0.012
V58,3.159,-3.369,0.048
V59,2.137,-1.573,0.023
V60,5.161,-1.213,0.012
V61,3.561,-2.561,0.128
V62,5.161,-1.213,0.012
V63,5.161,-1.213,0.012
V64,2.450,-1.137,0.013
V65,3.159,-3.369,0.048
V66,5.161,-1.213,0.012
V67,1.935,-3.234,0.068
V68,3.159,-3.368,0.048
V69,5.161,-1.213,0.012
V70,2.083,-1.417,0.038
V71,5.161,-1.213,0.012
V72,2.962,-0.922,0.296
V73,2.087,-1.413,0.040
V74,5.162,-1.213,0.012
V75,5.162,-1.213,0.012
V76,8.825,-0.465,0.098
V77,1.683,-2.601,0.159
V78,2.568,-2.084,0.102
V79,5.162,-1.213,0.012
V80,5.162,-1.213,0.012
V81,2.468,-0.251,0.113
V82,15.099,0.218,0.128
V83,5.162,-1.213,0.012
V84,5.162,-1.213,0.012
V85,3.832,-1.702,0.025
V86,4.695,-1.447,0.208
V87,8.180,-0.482,0.011
V88,3.016,-3.146,0.234
V89,8.430,-0.181,0.011
V90,3.137,-2.827,0.167
V91,3.704,-1.960,0.026
V92,3.812,-2.362,0.046
V93,5.163,-1.213,0.012
V94,5.163,-1.213,0.012
V95,-2.141,-11.514,0.395
V96,-0.705,-3.713,0.003
V97,3.834,-1.702,0.025
V98,3.813,-2.362,0.046
V99,5.164,-1.213,0.012
V100,4.170,-1.568,0.168
V101,3.595,-0.832,0.012
V102,2.184,-1.097,0.131
V103,9.656,0.669,0.130
V104,5.236,-0.206,0.150
V105,1.935,-3.234,0.068
V106,3.012,-2.431,0.060
V107,5.208,-1.600,0.190
V108,4.652,-2.718,0.235
V109,5.164,-1.213,0.012
V110,2.159,-0.497,0.017
V111,5.404,-1.168,0.221
V112,3.833,-1.702,0.025
V113,5.164,-1.213,0.012
V114,5.164,-1.213,0.012
V115,3.131,-2.823,0.171
V116,5.164,-1.213,0.012
V117,3.650,-0.778,0.107
V118,3.719,-1.521,0.418
V119,3.130,-2.823,0.171
V120,5.516,-1.225,0.110
V121,3.129,-2.822,0.172
