Clf,Score
BernoulliNB,273.85535963667365
rand1,273.85535963667365
rand3,273.85535963667365
pessimo,273.85535963667365
GaussianNB,408.4976725921058
rand2,417.67820649544313
majoritario,436.10236253560964
minoritario,436.10236253560964
DecisionTreeClassifier(),474.09957294690145
RandomForestClassifier(3_estimators),476.5051805915791
SVM,482.3293972019536
RandomForestClassifier(5_estimators),487.93627605359796
RandomForestClassifier,488.8931798189076
KNeighborsClassifier(5),490.6296587442963
KNeighborsClassifier(3),490.7000252593843
KNeighborsClassifier(8),490.8571640487207
MLPClassifier,491.0891399873936
KNeighborsClassifier(2),491.24968314170746
otimo,496.4321493062892
