Clf,Score
BernoulliNB,275.5020779488485
rand1,275.5020779488485
rand3,275.5020779488485
pessimo,275.5020779488485
GaussianNB,410.0844845819699
rand2,419.26117447216075
majoritario,437.6768692131753
minoritario,437.6768692131753
DecisionTreeClassifier(),475.64764678087073
RandomForestClassifier(3_estimators),478.05054027854914
SVM,483.8677627505811
RandomForestClassifier(5_estimators),489.4655172270362
RandomForestClassifier,490.4209508895623
KNeighborsClassifier(5),492.1523655719002
KNeighborsClassifier(3),492.2225024300473
KNeighborsClassifier(8),492.3792007974537
MLPClassifier,492.6106592790158
KNeighborsClassifier(2),492.7708965963926
otimo,497.93029894435716
