Metodo,Acuracia
GaussianNB,0.7705571142284569
BernoulliNB,0.19624008016032063
KNeighborsClassifier(2),0.9851971943887776
KNeighborsClassifier(3),0.9873979959919839
KNeighborsClassifier(5),0.985798396793587
KNeighborsClassifier(8),0.9815975951903807
DecisionTreeClassifier(),0.9231851703406815
RandomForestClassifier(3_estimators),0.9325879759519037
RandomForestClassifier(5_estimators),0.9507883767535071
RandomForestClassifier,0.9671943887775549
SVM,0.9603919839679358
MLPClassifier,0.992797995991984
rand1,0.07984031936127745
rand2,0.10578842315369262
rand3,0.07385229540918163
majoritario,0.08982035928143713
minoritario,0.08982035928143713
pessimo,0.0
otimo,1.0
