Metodo,Acuracia
GaussianNB,0.7984031936127745
BernoulliNB,0.21157684630738524
KNeighborsClassifier(2),0.9840319361277445
KNeighborsClassifier(3),0.9820359281437125
KNeighborsClassifier(5),0.9840319361277445
KNeighborsClassifier(8),0.9820359281437125
DecisionTreeClassifier(),0.9321357285429142
RandomForestClassifier(3_estimators),0.9401197604790419
RandomForestClassifier(5_estimators),0.9640718562874252
RandomForestClassifier,0.9840319361277445
SVM,0.9660678642714571
MLPClassifier,0.9900199600798403
rand1,0.07984031936127745
rand2,0.10578842315369262
rand3,0.07385229540918163
majoritario,0.08982035928143713
minoritario,0.08982035928143713
pessimo,0.0
otimo,1.0
