,Discriminacao,Dificuldade,Adivinhacao
V1,8.458,1.499,0.360
V2,-6.151,1.466,0.100
V3,-5.328,1.743,0.107
V4,-7.628,-0.277,0.312
V5,-4.823,1.691,0.161
V6,3.180,2.870,0.466
V7,-3.327,1.394,0.072
V8,-5.323,1.743,0.108
V9,3.721,1.299,0.012
V10,2.917,2.810,0.589
V11,-5.966,1.488,0.167
V12,-4.297,0.750,0.169
V13,-3.474,1.555,0.055
V14,-2.414,1.829,0.072
V15,-3.474,1.555,0.055
V16,5.947,2.352,0.367
V17,-2.509,1.921,0.065
V18,-4.405,2.137,0.143
V19,-4.254,1.279,0.051
V20,-5.963,1.488,0.168
V21,-5.315,1.743,0.110
V22,-5.959,1.487,0.169
V23,-4.426,2.128,0.150
V24,-3.474,1.555,0.055
V25,-4.402,2.133,0.147
V26,-4.699,1.912,0.052
V27,-5.954,1.487,0.171
V28,-5.304,1.743,0.113
V29,3.279,1.522,0.012
V30,2.678,2.841,0.645
V31,-6.555,1.143,0.180
V32,3.502,1.557,0.010
V33,-2.680,3.730,0.170
V34,-1.117,2.290,0.068
V35,-3.566,1.646,0.057
V36,3.930,1.729,0.095
V37,0.048,-44.582,0.077
V38,-3.566,1.646,0.058
V39,-5.297,1.743,0.114
V40,3.378,1.470,0.012
V41,-6.171,1.305,0.178
V42,-11.385,-0.234,0.495
V43,-5.293,1.743,0.115
V44,-5.943,1.485,0.176
V45,-6.106,1.466,0.108
V46,-3.319,1.580,0.070
V47,2.107,3.297,0.633
V48,-5.286,1.743,0.117
V49,4.483,1.101,0.013
V50,-5.284,1.743,0.117
V51,-6.099,1.466,0.110
V52,-5.247,1.561,0.117
V53,4.049,1.252,0.011
V54,-5.932,1.484,0.180
V55,-2.621,3.806,0.181
V56,-6.089,1.465,0.111
V57,1.358,-1.905,0.071
V58,-3.603,1.958,0.053
V59,-5.452,0.429,0.132
V60,-2.270,1.638,0.069
V61,-2.523,1.918,0.063
V62,-13.501,-0.070,0.351
V63,-2.653,2.023,0.065
V64,-2.611,3.819,0.183
V65,4.632,1.075,0.017
V66,-3.696,1.489,0.063
V67,-5.269,1.743,0.121
V68,-4.197,1.444,0.053
V69,-6.151,1.302,0.187
V70,-5.265,1.743,0.122
V71,-2.523,1.917,0.063
V72,-5.920,1.483,0.184
V73,0.633,-3.329,0.072
V74,-6.075,1.465,0.114
V75,-5.258,1.743,0.123
V76,4.106,1.162,0.013
V77,2.092,2.994,0.555
V78,4.107,1.162,0.013
V79,-6.071,1.465,0.115
V80,-2.732,1.817,0.068
V81,-2.680,1.587,0.069
V82,-4.388,2.117,0.165
V83,-2.524,1.917,0.064
V84,6.058,1.329,0.167
V85,-6.066,1.465,0.116
V86,-3.310,1.821,0.055
V87,1.701,3.572,0.065
V88,-6.064,1.465,0.116
V89,-4.386,2.115,0.167
V90,4.881,0.324,0.042
V91,-4.385,2.115,0.168
V92,-3.518,1.335,0.073
V93,2.770,1.645,0.015
V94,-2.557,3.889,0.195
V95,-6.132,1.299,0.194
V96,3.814,1.261,0.012
V97,15.754,0.476,0.358
V98,4.810,0.462,0.236
V99,-5.872,1.484,0.189
V100,-3.255,1.499,0.072
V101,-5.237,1.743,0.128
V102,3.840,1.289,0.104
V103,-3.081,1.732,0.063
V104,6.196,2.296,0.413
V105,4.483,1.101,0.013
V106,-3.585,1.775,0.054
V107,-3.295,1.583,0.069
V108,2.772,1.402,0.027
V109,3.927,1.239,0.012
V110,-5.235,1.743,0.129
V111,-4.382,2.111,0.173
V112,-4.197,1.444,0.053
V113,-5.894,1.481,0.194
V114,-4.340,0.819,0.097
V115,0.744,-1.285,0.069
V116,4.135,2.177,0.114
V117,-4.824,1.658,0.195
