Clf,Score
GaussianNB,79.39666050125403
BernoulliNB,79.39666050125403
KNeighborsClassifier(2),79.39666050125403
KNeighborsClassifier(3),79.39666050125403
KNeighborsClassifier(5),79.39666050125403
KNeighborsClassifier(8),79.39666050125403
RandomForestClassifier(5_estimators),79.39666050125403
RandomForestClassifier,79.39666050125403
MLPClassifier,79.39666050125403
majoritario,79.39666050125403
rand2,82.81767777620956
pessimo,86.65234679573256
RandomForestClassifier(3_estimators),88.32939236229389
rand3,91.4474709185556
rand1,91.79718782818287
SVM,92.91245965163762
otimo,95.57772958619387
DecisionTreeClassifier(),96.77444610483228
minoritario,99.9414883159814
