Clf,Score
minoritario,129.27593392193222
DecisionTreeClassifier(),131.50000830201805
otimo,131.82901546240376
SVM,133.0504907663071
rand1,133.86796048102906
rand3,134.16670843932468
RandomForestClassifier(3_estimators),137.76238228921713
pessimo,140.35874510057067
rand2,147.56476144151475
GaussianNB,154.7582424138049
BernoulliNB,154.7582424138049
KNeighborsClassifier(2),154.7582424138049
KNeighborsClassifier(3),154.7582424138049
KNeighborsClassifier(5),154.7582424138049
KNeighborsClassifier(8),154.7582424138049
RandomForestClassifier(5_estimators),154.7582424138049
RandomForestClassifier,154.7582424138049
MLPClassifier,154.7582424138049
majoritario,154.7582424138049
