Clf,Theta
GaussianNB,1.9048574443619577
BernoulliNB,1.9048574443619577
KNeighborsClassifier(2),1.9048574443619577
KNeighborsClassifier(3),1.9048574443619577
KNeighborsClassifier(5),1.9048574443619577
KNeighborsClassifier(8),1.9048574443619577
DecisionTreeClassifier(),2.963129156803579
RandomForestClassifier(3_estimators),2.2709609550077254
RandomForestClassifier(5_estimators),1.9048574443619577
RandomForestClassifier,1.9048574443619577
SVM,2.556403264092726
MLPClassifier,1.9048574443619577
rand1,2.476351446162157
rand2,2.024357115862295
rand3,2.453006832852353
majoritario,1.9048574443619577
minoritario,3.95813727930378
pessimo,2.18744865920547
otimo,2.802628513888433
