Metodo,Acuracia
GaussianNB,0.7256944444444444
BernoulliNB,0.6527777777777778
KNeighborsClassifier(2),0.7256944444444444
KNeighborsClassifier(3),0.8263888888888888
KNeighborsClassifier(5),0.8229166666666666
KNeighborsClassifier(8),0.7777777777777778
DecisionTreeClassifier(),0.8888888888888888
RandomForestClassifier(3_estimators),0.9201388888888888
RandomForestClassifier(5_estimators),0.875
RandomForestClassifier,0.8958333333333334
SVM,0.7986111111111112
MLPClassifier,0.75
rand1,0.5208333333333334
rand2,0.4861111111111111
rand3,0.5034722222222222
majoritario,0.6527777777777778
minoritario,0.3472222222222222
pessimo,0.0
otimo,1.0
