,Discriminacao,Dificuldade,Adivinhacao
V1,0.272,-0.702,0.001
V2,1.361,0.457,0.149
V3,1.701,0.655,0.230
V4,-8.666,-3.184,0.260
V5,0.400,-0.162,0.002
V6,1.421,0.135,0.000
V7,4.738,2.231,0.169
V8,0.064,22.366,0.003
V9,0.328,1.189,0.014
V10,2.924,-0.252,0.000
V11,0.837,0.817,0.120
V12,0.073,0.330,0.095
V13,-0.080,-21.543,0.009
V14,-0.246,-2.954,0.013
V15,2.190,-0.203,0.000
V16,0.683,1.343,0.146
V17,30.245,0.539,0.637
V18,-2.897,-2.859,0.023
V19,0.360,0.703,0.006
V20,-15.422,-3.155,0.103
V21,21.908,2.078,0.106
V22,-0.504,-5.434,0.000
V23,1.561,0.540,0.184
V24,2.040,-0.112,0.000
V25,1.419,-0.079,0.000
V26,-6.355,-3.218,0.299
V27,1.559,2.069,0.217
V28,3.006,-0.198,0.000
V29,17.357,2.045,0.142
V30,3.262,1.317,0.394
V31,30.115,0.646,0.461
V32,2.022,-0.463,0.163
V33,3.243,-0.595,0.000
V34,0.336,3.161,0.045
V35,1.154,0.502,0.206
V36,2.793,-1.012,0.151
V37,1.510,-0.521,0.000
V38,27.090,-0.007,0.525
V39,2.533,-0.388,0.002
V40,0.818,-2.025,0.000
V41,-0.856,-4.859,0.056
V42,-0.355,-7.111,0.000
V43,0.832,-0.449,0.070
V44,1.285,0.531,0.149
V45,1.146,0.168,0.000
V46,0.187,-1.549,0.061
V47,-10.604,-3.778,0.211
V48,15.371,2.067,0.147
V49,-0.119,-2.907,0.026
V50,0.717,0.791,0.362
V51,1.607,-1.471,0.000
V52,0.106,14.692,0.004
V53,-0.480,-2.816,0.056
V54,0.287,-2.096,0.078
V55,1.277,0.407,0.000
V56,0.040,43.651,0.009
V57,-0.221,-10.834,0.000
V58,0.031,54.001,0.000
V59,1.050,1.174,0.172
V60,1.216,0.317,0.000
V61,1.046,-0.417,0.085
V62,0.716,3.895,0.180
V63,0.244,-1.074,0.088
V64,-11.579,-3.150,0.087
V65,0.972,-1.075,0.000
V66,-0.011,-79.772,0.121
V67,0.678,-0.104,0.048
V68,2.636,-0.176,0.060
V69,0.250,-1.040,0.164
V70,1.316,-0.074,0.127
V71,-5.764,-4.061,0.202
V72,0.120,2.829,0.019
V73,1.818,0.063,0.164
V74,1.487,-1.352,0.000
V75,9.748,1.266,0.324
V76,-0.014,-21.942,0.109
V77,0.090,5.222,0.083
V78,1.170,0.974,0.179
V79,20.293,1.296,0.450
V80,-16.092,-3.143,0.150
V81,0.181,5.886,0.101
V82,0.692,-1.237,0.000
V83,1.467,-2.022,0.000
V84,-12.879,-3.779,0.156
V85,-0.721,-6.079,0.050
V86,1.477,-0.226,0.000
V87,6.380,1.919,0.108
V88,0.859,-1.457,0.000
V89,2.340,-0.270,0.000
V90,1.077,-0.956,0.069
V91,-0.112,-3.900,0.022
V92,12.421,2.114,0.147
V93,-6.518,-3.214,0.300
V94,0.207,5.254,0.001
V95,0.928,-2.051,0.000
