Clf,Score
MLPClassifier,72.51547268680142
rand1,72.51547268680142
rand2,72.51547268680142
rand3,72.51547268680142
majoritario,72.51547268680142
minoritario,72.51547268680142
pessimo,72.51547268680142
KNeighborsClassifier(3),136.38874802723637
KNeighborsClassifier(8),138.89561677179034
KNeighborsClassifier(5),145.48741041179764
RandomForestClassifier(3_estimators),152.91041027402227
GaussianNB,153.21735465806196
RandomForestClassifier,153.83272081813965
KNeighborsClassifier(2),156.45129998651973
DecisionTreeClassifier(),157.14791470424692
BernoulliNB,158.20491501833033
SVM,160.23224269812906
RandomForestClassifier(5_estimators),161.21499346130088
otimo,187.64897934455914
