Clf,Score
MLPClassifier,88.48906994171021
rand1,88.48906994171021
rand2,88.48906994171021
rand3,88.48906994171021
majoritario,88.48906994171021
minoritario,88.48906994171021
pessimo,88.48906994171021
KNeighborsClassifier(3),150.07785200254796
KNeighborsClassifier(8),152.5329488195661
KNeighborsClassifier(5),158.95725444116846
RandomForestClassifier(3_estimators),166.10918885591485
GaussianNB,166.40660354694836
RandomForestClassifier,167.00391732511727
KNeighborsClassifier(2),169.5591508965627
DecisionTreeClassifier(),170.2410880804095
BernoulliNB,171.27591232273775
SVM,173.25549933223834
RandomForestClassifier(5_estimators),174.20931397403845
otimo,195.7366905215268
