Clf,Theta
GaussianNB,1.932608730551103
BernoulliNB,2.096926301979576
KNeighborsClassifier(2),2.0451692208792234
KNeighborsClassifier(3),1.2907882954630663
KNeighborsClassifier(5),1.5622804614204766
KNeighborsClassifier(8),1.3535470320202336
DecisionTreeClassifier(),2.0657223006599654
RandomForestClassifier(3_estimators),1.9195862944328916
RandomForestClassifier(5_estimators),2.206234501645058
RandomForestClassifier,1.9573662860051317
SVM,2.164723774939533
MLPClassifier,-0.8328533105176078
rand1,-0.8328533105176078
rand2,-0.8328533105176078
rand3,-0.8328533105176078
majoritario,-0.8328533105176078
minoritario,-0.8328533105176078
pessimo,-0.8328533105176078
otimo,25.26585331051761
