Metodo,Acuracia
GaussianNB,0.44932203389830505
BernoulliNB,0.20935028248587573
KNeighborsClassifier(2),0.5929943502824858
KNeighborsClassifier(3),0.6317514124293786
KNeighborsClassifier(5),0.6064689265536722
KNeighborsClassifier(8),0.599774011299435
DecisionTreeClassifier(),0.6553954802259887
RandomForestClassifier(3_estimators),0.6842372881355931
RandomForestClassifier(5_estimators),0.6925423728813559
RandomForestClassifier,0.7279943502824857
SVM,0.21771186440677964
MLPClassifier,0.6369209039548023
rand1,0.24015748031496062
rand2,0.24803149606299213
rand3,0.23622047244094488
majoritario,0.2559055118110236
minoritario,0.23622047244094488
pessimo,0.0
otimo,1.0
