,Discriminacao,Dificuldade,Adivinhacao
V1,4.218,0.614,0.185
V2,7.584,1.304,0.088
V3,7.605,-0.755,0.152
V4,2.411,-0.719,0.015
V5,7.054,1.382,0.040
V6,3.223,0.668,0.394
V7,1.827,-0.642,0.014
V8,7.498,0.810,0.040
V9,8.032,-1.478,0.201
V10,4.706,1.605,0.025
V11,10.197,1.031,0.024
V12,7.092,1.468,0.008
V13,15.159,-1.011,0.473
V14,1.527,-0.132,0.154
V15,4.134,0.629,0.015
V16,7.988,-1.402,0.201
V17,1.173,-1.529,0.030
V18,8.462,1.301,0.041
V19,4.049,-0.595,0.171
V20,3.183,2.146,0.060
V21,2.984,0.663,0.078
V22,10.545,1.073,0.062
V23,4.718,1.846,0.008
V24,5.049,0.807,0.014
V25,17.650,-0.791,0.473
V26,4.667,0.926,0.083
V27,7.857,-0.151,0.108
V28,3.630,1.722,0.026
V29,2.051,0.040,0.100
V30,1.633,-0.339,0.019
V31,5.984,-1.092,0.310
V32,2.756,-1.090,0.103
V33,2.995,-1.472,0.024
V34,8.488,1.163,0.002
V35,2.163,-1.547,0.106
V36,4.763,1.592,0.017
V37,2.116,0.639,0.130
V38,5.925,1.516,0.088
V39,8.748,1.197,0.022
V40,2.095,-0.009,0.152
V41,2.126,-1.576,0.096
V42,4.867,0.134,0.077
V43,7.764,0.887,0.094
V44,7.173,1.294,0.078
V45,3.229,8.768,0.045
V46,1.214,0.901,0.075
V47,3.947,1.649,0.063
V48,3.734,-0.204,0.051
V49,5.187,1.054,0.124
V50,6.039,-0.533,0.370
V51,7.497,1.389,0.057
V52,8.031,-1.478,0.201
V53,6.541,1.496,0.056
V54,2.653,-0.235,0.105
V55,4.104,1.430,0.180
V56,5.849,0.994,0.204
V57,7.541,1.389,0.057
V58,1.675,-0.322,0.040
V59,7.986,-1.402,0.201
V60,4.177,-0.009,0.041
V61,4.129,0.451,0.144
V62,3.698,0.008,0.104
V63,0.863,0.142,0.030
V64,1.975,-1.599,0.171
V65,7.265,1.273,0.012
V66,2.179,-1.569,0.190
V67,7.130,1.467,0.008
V68,6.771,-0.302,0.320
V69,4.468,1.250,0.178
V70,5.426,1.055,0.026
V71,3.424,1.777,0.059
V72,1.682,-0.588,0.010
V73,-1.071,-4.125,0.009
V74,3.966,-0.878,0.211
V75,4.353,-0.156,0.161
V76,15.075,-1.015,0.473
V77,4.152,0.371,0.026
V78,5.146,1.309,0.200
V79,6.882,1.373,0.022
V80,1.264,-0.052,0.021
V81,1.812,0.414,0.011
V82,4.033,1.501,0.082
V83,8.029,-1.478,0.200
V84,15.372,-0.997,0.474
V85,4.203,1.124,0.014
V86,6.051,1.109,0.096
V87,1.348,-0.580,0.018
V88,2.335,-0.323,0.043
V89,4.681,1.038,0.077
V90,7.965,-1.335,0.198
V91,1.693,-0.978,0.149
V92,6.271,0.652,0.086
V93,0.692,-0.129,0.055
V94,1.295,-0.538,0.018
V95,2.808,-1.593,0.026
V96,8.432,1.301,0.041
V97,3.257,0.603,0.049
V98,3.461,1.229,0.257
V99,4.211,0.456,0.026
V100,2.186,-1.662,0.017
V101,5.582,1.196,0.370
V102,3.068,0.032,0.039
V103,1.372,0.860,0.058
V104,4.079,-1.240,0.021
V105,5.290,-0.323,0.051
V106,9.754,-0.086,0.028
V107,1.023,-0.568,0.069
V108,7.442,1.222,0.233
V109,2.749,-0.846,0.023
V110,6.205,0.769,0.064
V111,2.390,0.645,0.161
V112,2.438,-1.407,0.244
V113,1.549,0.165,0.023
V114,2.187,-1.661,0.017
V115,3.983,0.296,0.147
V116,1.595,-0.082,0.134
V117,1.761,3.197,0.044
V118,6.351,1.483,0.031
V119,1.530,-0.841,0.021
V120,5.226,1.466,0.017
V121,2.181,-0.308,0.093
V122,6.979,1.390,0.056
V123,0.977,-0.504,0.068
V124,3.493,2.158,0.009
V125,3.069,-0.900,0.014
V126,5.525,0.688,0.014
V127,2.571,-1.056,0.188
V128,3.080,-1.657,0.017
V129,3.289,-0.758,0.013
V130,-0.448,-14.782,0.006
V131,4.257,-0.349,0.133
V132,3.342,2.412,0.046
V133,9.040,1.213,0.056
V134,2.979,0.367,0.079
V135,6.859,0.438,0.115
V136,2.300,0.790,0.069
V137,3.973,0.411,0.031
V138,8.867,1.203,0.031
V139,4.063,1.059,0.002
V140,2.668,-0.903,0.020
V141,-1.449,-4.017,0.029
V142,1.035,-1.212,0.040
V143,1.357,-2.086,0.031
V144,4.751,1.593,0.017
V145,6.406,-0.569,0.053
V146,8.163,-0.797,0.101
V147,1.578,-0.082,0.041
V148,2.132,-1.595,0.018
V149,5.211,0.623,0.173
V150,3.492,-0.043,0.048
V151,0.872,-0.488,0.057
V152,8.004,1.301,0.064
V153,1.043,-0.685,0.022
V154,5.180,0.396,0.140
V155,1.664,-0.509,0.025
V156,2.673,-1.023,0.065
V157,6.442,-0.080,0.125
V158,6.483,-0.707,0.357
V159,7.962,-1.219,0.292
V160,1.779,3.430,0.009
V161,2.795,-1.599,0.023
V162,6.973,1.474,0.016
V163,-0.447,-14.782,0.006
V164,2.209,-0.620,0.016
V165,-1.479,-16.984,0.053
V166,1.034,1.130,0.069
V167,2.475,-0.394,0.019
V168,8.027,-1.478,0.200
V169,3.692,0.328,0.116
V170,7.806,1.373,0.008
V171,6.712,1.589,0.008
V172,15.948,-1.021,0.420
V173,3.199,2.228,0.032
V174,0.937,-0.150,0.030
V175,6.156,1.410,0.112
V176,2.036,-0.314,0.021
V177,-1.766,-4.428,0.016
V178,4.327,1.449,0.016
V179,4.031,0.475,0.052
V180,1.208,-1.685,0.030
V181,2.120,-0.856,0.013
V182,2.148,1.650,0.050
V183,7.538,1.304,0.088
V184,3.695,1.774,0.155
V185,7.993,4.018,0.030
V186,10.922,1.081,0.039
V187,6.255,1.271,0.065
V188,4.326,0.922,0.047
V189,2.005,-0.834,0.082
V190,4.456,-0.103,0.039
V191,5.586,0.128,0.135
V192,-2.599,-3.409,0.027
V193,0.680,1.032,0.051
V194,4.718,1.846,0.008
V195,5.074,1.041,0.154
V196,8.416,1.299,0.033
V197,4.819,0.149,0.199
V198,6.091,-0.283,0.166
V199,8.495,-0.064,0.284
V200,10.922,1.081,0.039
V201,2.129,1.904,0.054
V202,7.732,1.344,0.212
V203,4.074,1.726,0.022
V204,1.976,-1.815,0.023
V205,1.002,-0.366,0.051
V206,7.545,0.809,0.040
V207,1.567,-0.902,0.023
V208,5.241,0.404,0.056
V209,4.627,1.172,0.026
V210,8.427,0.914,0.027
V211,5.660,1.301,0.162
V212,8.964,0.955,0.053
V213,4.767,1.331,0.030
V214,4.078,-0.017,0.073
V215,3.155,-1.606,0.027
V216,1.264,-0.679,0.120
V217,6.483,1.177,0.176
V218,10.071,1.071,0.118
V219,2.802,-1.599,0.023
V220,1.053,0.438,0.027
V221,3.108,1.945,0.268
V222,7.793,1.290,0.031
V223,1.464,-1.486,0.018
V224,3.850,1.347,0.378
V225,6.256,0.557,0.192
V226,3.744,0.756,0.119
V227,2.319,-1.553,0.183
V228,4.021,0.140,0.247
V229,10.780,1.066,0.021
V230,5.925,1.156,0.227
V231,2.944,0.687,0.004
V232,3.129,0.621,0.003
V233,9.707,0.031,0.085
V234,1.349,-0.537,0.021
V235,0.619,1.199,0.054
V236,4.423,1.421,0.175
V237,5.695,0.150,0.137
V238,4.161,0.091,0.079
V239,4.953,0.186,0.029
V240,4.413,0.112,0.110
V241,4.139,0.748,0.041
V242,7.087,1.471,0.016
V243,3.599,0.047,0.005
V244,18.458,-0.976,0.317
V245,-0.749,-5.189,0.033
V246,1.767,3.194,0.044
V247,4.703,1.473,0.030
V248,7.571,0.724,0.040
V249,9.208,1.028,0.135
V250,9.301,0.953,0.013
V251,10.383,3.257,0.030
V252,3.872,1.183,0.276
V253,9.896,0.030,0.171
V254,6.570,-0.426,0.105
V255,1.041,-0.216,0.031
V256,7.977,-0.031,0.167
V257,0.700,1.054,0.023
V258,3.086,0.640,0.370
V259,1.138,0.037,0.145
V260,1.814,0.588,0.291
