Clf,Score
BernoulliNB,215.48211384749354
KNeighborsClassifier(8),215.48211384749354
MLPClassifier,215.48211384749354
rand1,215.48211384749354
rand3,215.48211384749354
majoritario,215.48211384749354
minoritario,215.48211384749354
pessimo,215.48211384749354
rand2,220.9806047474574
KNeighborsClassifier(5),227.27692211633885
GaussianNB,232.47139284368254
SVM,237.7629771617755
RandomForestClassifier(5_estimators),241.6569028071404
RandomForestClassifier(3_estimators),245.20973717975588
DecisionTreeClassifier(),256.26579241978175
RandomForestClassifier,264.46897997695316
KNeighborsClassifier(3),265.7567003100131
KNeighborsClassifier(2),268.4056366779159
otimo,280.96537437131104
