,Discriminacao,Dificuldade,Adivinhacao
V1,9.862,0.035,0.259
V2,0.224,-11.326,0.089
V3,2.629,-2.783,0.066
V4,4.372,-2.385,0.054
V5,2.826,-0.684,0.179
V6,-0.273,2.880,0.068
V7,0.475,-16.245,0.166
V8,8.484,-1.359,0.090
V9,3.299,-1.152,0.090
V10,2.168,-2.625,0.084
V11,0.393,-0.751,0.063
V12,3.270,0.475,0.388
V13,2.652,2.263,0.056
V14,2.568,-2.788,0.069
V15,3.331,-2.547,0.065
V16,3.331,-2.547,0.065
V17,1.241,-2.533,0.083
V18,4.494,-1.369,0.517
V19,2.187,0.114,0.082
V20,4.010,-1.143,0.388
V21,3.503,-1.373,0.216
V22,6.172,-1.358,0.095
V23,6.172,-1.358,0.095
V24,2.235,-3.395,0.159
V25,0.921,-3.810,0.083
V26,3.976,-2.512,0.077
V27,4.783,2.427,0.062
V28,0.664,-0.670,0.165
V29,3.379,-2.667,0.116
V30,3.976,-2.512,0.078
V31,1.759,-1.343,0.049
V32,2.915,-3.256,0.065
V33,7.742,-0.190,0.339
V34,3.124,1.137,0.072
V35,2.141,-3.152,0.065
V36,-0.483,0.304,0.188
V37,2.807,-2.370,0.094
V38,0.475,-16.246,0.168
V39,3.379,-2.666,0.117
V40,3.380,-2.666,0.117
V41,2.568,-2.788,0.069
V42,1.366,-1.578,0.045
V43,2.825,-2.911,0.146
V44,-2.352,-3.170,0.071
V45,8.236,-0.222,0.080
V46,3.083,-1.517,0.168
V47,2.236,-3.393,0.162
V48,2.014,-3.191,0.066
V49,1.819,1.023,0.105
V50,1.418,1.381,0.293
V51,0.298,-1.481,0.162
V52,4.320,-0.030,0.386
V53,0.476,-7.431,0.086
V54,10.329,-0.179,0.045
V55,5.124,-1.507,0.164
V56,3.977,-2.512,0.078
V57,1.125,-3.071,0.088
V58,2.236,-3.392,0.163
V59,5.571,-1.248,0.552
V60,3.330,0.520,0.310
V61,1.877,-1.446,0.268
V62,5.236,-1.963,0.183
V63,0.028,-54.253,0.101
V64,5.825,0.322,0.048
V65,1.176,-2.597,0.091
V66,3.443,-1.293,0.089
V67,0.218,6.252,0.337
V68,3.546,-2.547,0.062
V69,6.246,-0.715,0.268
V70,4.270,-2.536,0.066
V71,-2.477,-3.138,0.071
V72,2.236,-3.392,0.164
V73,5.102,-1.479,0.370
V74,2.236,-3.392,0.164
V75,1.046,-3.204,0.092
V76,5.040,0.474,0.003
V77,-0.300,0.336,0.108
V78,0.475,-16.256,0.172
V79,5.129,-2.827,0.050
V80,2.188,-2.624,0.087
V81,2.528,-2.792,0.071
V82,1.451,-2.711,0.083
V83,4.094,0.379,0.112
V84,6.174,-1.358,0.096
V85,1.018,-3.009,0.108
V86,3.381,-2.666,0.118
V87,0.903,-2.177,0.098
V88,6.174,-1.358,0.096
V89,1.422,-2.773,0.058
V90,5.226,-1.689,0.441
V91,10.445,-0.427,0.236
V92,6.175,-1.358,0.096
V93,4.527,-0.660,0.012
V94,0.593,-3.985,0.087
V95,3.336,-1.149,0.090
V96,0.474,-16.264,0.174
V97,3.039,0.408,0.057
V98,4.693,-0.804,0.526
V99,5.232,-1.963,0.183
V100,1.348,-4.252,0.068
V101,2.705,-1.409,0.075
V102,0.551,-4.103,0.065
V103,2.996,-2.509,0.121
V104,3.175,-0.353,0.353
V105,1.937,-3.213,0.072
V106,4.221,0.448,0.050
V107,6.175,-1.358,0.096
V108,2.826,-2.909,0.151
V109,3.279,-0.949,0.264
V110,8.560,-0.566,0.090
V111,2.014,0.581,0.612
V112,3.509,0.645,0.436
V113,1.191,-2.147,0.156
V114,2.996,-2.508,0.122
V115,0.788,-2.934,0.075
V116,2.236,-3.389,0.168
V117,2.509,-0.089,0.107
V118,4.147,-0.444,0.275
V119,2.236,-3.389,0.168
V120,4.947,-1.965,0.173
V121,0.836,-4.096,0.086
V122,2.827,-2.909,0.152
V123,1.051,1.054,0.078
V124,1.933,-3.213,0.074
V125,5.583,-1.085,0.094
V126,0.473,-16.285,0.178
V127,5.033,0.708,0.430
V128,1.200,-2.420,0.081
V129,7.684,-1.375,0.090
V130,7.110,-1.374,0.170
V131,2.237,-3.388,0.169
V132,6.176,-1.358,0.096
V133,2.084,-0.994,0.076
V134,6.670,-1.485,0.175
V135,6.410,1.890,0.044
V136,1.350,-3.051,0.069
V137,0.918,-3.097,0.076
V138,2.721,-2.776,0.063
V139,6.293,-1.363,0.012
V140,0.756,-2.266,0.071
V141,0.374,-3.340,0.090
V142,11.352,-0.396,0.074
V143,0.794,2.217,0.014
V144,6.176,-1.358,0.096
V145,3.382,-2.664,0.121
V146,2.996,-2.367,0.094
V147,4.040,-2.863,0.054
V148,6.176,-1.358,0.096
V149,5.524,-1.392,0.356
V150,10.194,0.062,0.045
V151,1.595,-2.138,0.062
V152,0.472,-16.305,0.180
V153,-2.208,-2.397,0.192
V154,1.113,-3.343,0.088
V155,2.828,-2.907,0.154
V156,1.521,-2.906,0.068
V157,0.874,-2.995,0.091
V158,2.828,-2.907,0.154
V159,1.825,-2.549,0.069
V160,6.177,-1.358,0.096
V161,0.472,-16.319,0.182
V162,2.167,-2.630,0.077
V163,0.649,-3.874,0.089
V164,0.472,-16.322,0.182
V165,6.263,-1.350,0.258
V166,1.053,-3.174,0.102
V167,1.118,-3.105,0.077
V168,6.177,-1.358,0.096
V169,3.383,-2.664,0.123
V170,3.260,-1.927,0.252
V171,2.179,-2.628,0.080
V172,0.736,-2.779,0.090
V173,1.406,1.069,0.387
V174,-2.002,-2.433,0.034
V175,3.104,-1.988,0.214
V176,0.798,-2.276,0.117
V177,6.177,-1.358,0.096
V178,3.383,-2.663,0.123
V179,0.471,-16.342,0.184
V180,1.825,-2.549,0.069
V181,1.588,-2.641,0.072
V182,3.373,-1.019,0.091
V183,1.326,-2.825,0.080
V184,2.721,-2.776,0.063
V185,8.247,-0.959,0.090
