Clf,Score
pessimo,388.53990701874176
rand3,406.93944747141643
BernoulliNB,414.8588086029541
majoritario,414.8588086029541
minoritario,415.49292146991974
rand2,416.5711278246462
rand1,427.29941968353444
GaussianNB,431.3213401220981
KNeighborsClassifier(8),434.0403601811736
KNeighborsClassifier(2),437.2780111911205
KNeighborsClassifier(5),439.6972408003093
KNeighborsClassifier(3),446.4682874591566
SVM,449.1525544752696
MLPClassifier,462.7436773482328
RandomForestClassifier(3_estimators),464.3606362778079
RandomForestClassifier(5_estimators),466.8469104246927
RandomForestClassifier,466.8469104246927
otimo,466.8469104246927
DecisionTreeClassifier(),467.1740403914301
