Clf,Score
pessimo,398.3278792826334
rand3,416.26835026782555
BernoulliNB,423.98601502759067
majoritario,423.98601502759067
minoritario,424.60264287775345
rand2,425.6504824519865
rand1,436.0503330038668
GaussianNB,439.94758712574486
KNeighborsClassifier(8),442.57930174241034
KNeighborsClassifier(2),445.7040714467863
KNeighborsClassifier(5),448.02845336647925
KNeighborsClassifier(3),454.4618276490825
SVM,456.96986683311144
MLPClassifier,469.5305004629235
RandomForestClassifier(3_estimators),470.9638255542111
RandomForestClassifier(5_estimators),472.8222021319611
RandomForestClassifier,472.8222021319611
otimo,472.8222021319611
DecisionTreeClassifier(),472.97856794748793
