Clf,Theta
GaussianNB,0.604721981536707
BernoulliNB,0.1495858517677245
KNeighborsClassifier(2),0.8026498549194353
KNeighborsClassifier(3),1.2594860617967987
KNeighborsClassifier(5),0.899495533854776
KNeighborsClassifier(8),0.6899465812919359
DecisionTreeClassifier(),4.0412259860732345
RandomForestClassifier(3_estimators),2.9438524615012467
RandomForestClassifier(5_estimators),3.795859059317846
RandomForestClassifier,3.795859059317846
SVM,1.4562078557440468
MLPClassifier,2.7058977223237832
rand1,0.48601929081763146
rand2,0.19052217390082332
rand3,-0.016992273772077054
majoritario,0.1495858517677245
minoritario,0.16448112193157655
pessimo,-0.36021927522957276
otimo,3.795859059317846
