Metodo,Acuracia
GaussianNB,0.5244098240469208
BernoulliNB,0.4041625936787227
KNeighborsClassifier(2),0.8535092864125122
KNeighborsClassifier(3),0.8684437113066146
KNeighborsClassifier(5),0.8593633919843597
KNeighborsClassifier(8),0.8482612414467253
DecisionTreeClassifier(),0.9961660964483544
RandomForestClassifier(3_estimators),0.9828498696643857
RandomForestClassifier(5_estimators),0.9880966927337894
RandomForestClassifier,0.9913245356793745
SVM,0.8985105083088953
MLPClassifier,0.9217078038449007
rand1,0.284
rand2,0.236
rand3,0.246
majoritario,0.404
minoritario,0.06
pessimo,0.0
otimo,1.0
