Clf,Score
GaussianNB,132.15366582128397
DecisionTreeClassifier(),132.15366582128397
RandomForestClassifier(3_estimators),132.15366582128397
rand3,132.15366582128397
minoritario,132.15366582128397
rand2,147.35701503986206
pessimo,147.4723799230587
BernoulliNB,147.97526152769774
SVM,147.97526152769774
majoritario,147.97526152769774
rand1,148.97439702227123
KNeighborsClassifier(3),151.48440342475635
KNeighborsClassifier(2),152.58950427541703
RandomForestClassifier(5_estimators),154.17509127087277
RandomForestClassifier,154.22759981286205
otimo,154.3054780269597
KNeighborsClassifier(5),154.5171600735718
MLPClassifier,156.2988229142821
KNeighborsClassifier(8),156.31413355853493
