Clf,Theta
GaussianNB,-1.1059986572935228
BernoulliNB,-0.46575468177964924
KNeighborsClassifier(2),0.05420936660603126
KNeighborsClassifier(3),-0.005653136338555016
KNeighborsClassifier(5),0.6754110992565497
KNeighborsClassifier(8),1.913507193939635
DecisionTreeClassifier(),-1.1059986572935228
RandomForestClassifier(3_estimators),-1.1059986572935228
RandomForestClassifier(5_estimators),0.4847946399212998
RandomForestClassifier,0.5088118824373505
SVM,-0.46575468177964924
MLPClassifier,1.8707724290676613
rand1,-0.33618203289478343
rand2,-0.5259679766985398
rand3,-1.1059986572935228
majoritario,-0.46575468177964924
minoritario,-1.1059986572935228
pessimo,-0.515297934144337
otimo,0.5470179710988101
