Metodo,Acuracia
GaussianNB,0.9498717948717947
BernoulliNB,0.6280128205128206
KNeighborsClassifier(2),0.9248076923076924
KNeighborsClassifier(3),0.937371794871795
KNeighborsClassifier(5),0.934871794871795
KNeighborsClassifier(8),0.9274358974358974
DecisionTreeClassifier(),0.9271794871794873
RandomForestClassifier(3_estimators),0.9421794871794871
RandomForestClassifier(5_estimators),0.9421153846153846
RandomForestClassifier,0.9548717948717949
SVM,0.6280128205128206
MLPClassifier,0.9424358974358974
rand1,0.4853801169590643
rand2,0.47368421052631576
rand3,0.52046783625731
majoritario,0.6257309941520468
minoritario,0.3742690058479532
pessimo,0.0
otimo,1.0
