Metodo,Acuracia
GaussianNB,0.935672514619883
BernoulliNB,0.6257309941520468
KNeighborsClassifier(2),0.8771929824561403
KNeighborsClassifier(3),0.9122807017543859
KNeighborsClassifier(5),0.9122807017543859
KNeighborsClassifier(8),0.9239766081871345
DecisionTreeClassifier(),0.9415204678362573
RandomForestClassifier(3_estimators),0.9181286549707602
RandomForestClassifier(5_estimators),0.9590643274853801
RandomForestClassifier,0.9590643274853801
SVM,0.6257309941520468
MLPClassifier,0.935672514619883
rand1,0.4853801169590643
rand2,0.47368421052631576
rand3,0.52046783625731
majoritario,0.6257309941520468
minoritario,0.3742690058479532
pessimo,0.0
otimo,1.0
