,Discriminacao,Dificuldade,Adivinhacao
V1,6.445,-1.654,0.086
V2,6.445,-1.654,0.086
V3,6.445,-1.654,0.086
V4,6.445,-1.654,0.087
V5,6.445,-1.654,0.087
V6,33.551,0.289,0.000
V7,6.445,-1.654,0.087
V8,6.445,-1.654,0.088
V9,6.445,-1.654,0.088
V10,6.445,-1.653,0.088
V11,33.554,0.289,0.000
V12,3.982,1.486,0.000
V13,6.445,-1.653,0.089
V14,6.445,-1.653,0.089
V15,33.555,0.289,0.000
V16,6.445,-1.653,0.090
V17,6.445,-1.653,0.090
V18,6.445,-1.653,0.090
V19,6.445,-1.653,0.091
V20,6.445,-1.653,0.091
V21,6.445,-1.653,0.091
V22,6.445,-1.653,0.092
V23,6.445,-1.653,0.092
V24,6.446,-1.653,0.092
V25,6.446,-1.653,0.092
V26,6.446,-1.653,0.093
V27,6.446,-1.653,0.093
V28,6.446,-1.652,0.093
V29,6.446,-1.652,0.094
V30,33.561,0.289,0.000
V31,6.446,-1.652,0.094
V32,6.446,-1.652,0.095
V33,33.562,0.289,0.000
V34,33.563,0.289,0.000
V35,6.446,-1.652,0.095
V36,6.446,-1.652,0.096
V37,6.446,-1.652,0.096
V38,33.565,0.289,0.000
V39,6.446,-1.652,0.097
V40,13.486,0.890,0.915
V41,15.673,1.342,0.000
V42,6.446,-1.652,0.097
V43,6.446,-1.652,0.097
V44,6.446,-1.652,0.097
V45,-4.773,2.505,0.000
V46,0.812,-4.363,0.053
V47,33.567,0.289,0.000
V48,-11.156,2.891,0.212
V49,33.567,0.289,0.000
V50,6.446,-1.652,0.098
V51,33.568,0.289,0.000
V52,0.809,-4.381,0.053
V53,6.446,-1.651,0.099
V54,6.446,-1.651,0.099
V55,6.446,-1.651,0.100
V56,15.685,1.351,0.000
V57,6.446,-1.651,0.100
V58,6.446,-1.651,0.100
V59,7.131,1.632,0.041
V60,6.446,-1.651,0.100
V61,6.446,-1.651,0.101
V62,6.446,-1.651,0.101
V63,0.811,-4.367,0.054
V64,6.446,-1.651,0.101
V65,2.959,-0.475,0.102
V66,12.852,0.866,0.913
V67,6.446,-1.651,0.102
V68,6.446,-1.651,0.102
V69,33.573,0.289,0.000
V70,6.446,-1.651,0.103
V71,6.447,-1.651,0.103
V72,0.810,-4.372,0.054
V73,2.959,-0.475,0.103
V74,6.447,-1.651,0.103
V75,6.447,-1.651,0.104
V76,6.447,-1.650,0.104
V77,6.447,-1.650,0.104
V78,6.447,-1.650,0.104
V79,0.810,-4.371,0.054
V80,6.447,-1.650,0.105
V81,6.447,-1.650,0.105
V82,6.447,-1.650,0.105
V83,2.960,-0.474,0.104
V84,6.447,-1.650,0.106
V85,6.447,-1.650,0.106
V86,33.579,0.289,0.000
V87,6.447,-1.650,0.107
V88,6.447,-1.650,0.107
V89,-5.165,1.962,0.119
V90,6.447,-1.650,0.107
V91,6.447,-1.650,0.108
V92,6.447,-1.650,0.108
V93,3.006,2.625,0.000
V94,16.197,0.484,0.000
V95,6.447,-1.650,0.108
V96,-36.433,0.294,0.038
V97,33.581,0.289,0.000
V98,6.447,-1.650,0.109
V99,6.447,-1.649,0.109
V100,33.583,0.289,0.000
V101,29.188,2.681,0.024
V102,4.346,2.392,0.000
V103,6.447,-1.649,0.110
V104,6.447,-1.649,0.110
V105,0.811,-4.368,0.054
V106,6.447,-1.649,0.110
V107,0.812,-4.362,0.054
V108,6.447,-1.649,0.111
V109,6.447,-1.649,0.111
V110,2.960,-0.474,0.105
V111,33.585,0.289,0.000
V112,6.447,-1.649,0.112
V113,16.197,0.484,0.000
V114,6.447,-1.649,0.112
V115,33.587,0.289,0.000
V116,33.587,0.289,0.000
V117,6.447,-1.649,0.113
V118,6.447,-1.649,0.113
V119,2.960,-0.473,0.105
V120,6.447,-1.649,0.113
V121,6.447,-1.649,0.114
V122,6.447,-1.649,0.114
V123,6.447,-1.649,0.114
V124,6.447,-1.648,0.115
V125,-37.268,0.296,0.000
V126,6.447,-1.648,0.115
V127,6.448,-1.648,0.116
V128,6.448,-1.648,0.116
V129,6.448,-1.648,0.116
V130,2.988,-0.431,0.179
V131,33.592,0.289,0.000
V132,0.813,-4.358,0.054
V133,33.593,0.289,0.000
V134,6.448,-1.648,0.117
V135,33.594,0.289,0.000
V136,6.448,-1.648,0.118
V137,6.448,-1.648,0.118
V138,33.595,0.289,0.000
V139,33.595,0.289,0.000
V140,6.448,-1.648,0.119
V141,6.448,-1.648,0.119
V142,6.448,-1.647,0.120
V143,6.448,-1.647,0.120
V144,0.813,-4.358,0.055
V145,0.813,-4.358,0.055
V146,6.448,-1.647,0.120
V147,6.448,-1.647,0.121
V148,6.448,-1.647,0.121
V149,6.448,-1.647,0.121
V150,20.929,1.203,0.000
V151,6.448,-1.647,0.122
V152,6.448,-1.647,0.122
V153,2.983,-0.439,0.166
V154,6.448,-1.647,0.122
V155,6.448,-1.647,0.123
V156,6.546,1.046,0.086
V157,2.992,-0.425,0.188
V158,6.448,-1.647,0.123
V159,-7.645,3.487,0.541
V160,33.601,0.289,0.000
V161,2.960,-0.473,0.106
V162,6.448,-1.647,0.124
V163,2.994,-0.423,0.193
V164,6.448,-1.647,0.124
V165,6.448,-1.647,0.124
V166,33.603,0.289,0.000
V167,33.603,0.289,0.000
V168,33.604,0.289,0.000
V169,6.448,-1.646,0.126
V170,6.448,-1.646,0.126
V171,6.448,-1.646,0.126
V172,6.448,-1.646,0.126
V173,6.448,-1.646,0.127
V174,6.368,1.227,0.000
V175,6.448,-1.646,0.127
V176,6.448,-1.646,0.127
V177,0.813,-4.357,0.055
V178,6.448,-1.646,0.128
V179,6.448,-1.646,0.128
V180,6.448,-1.646,0.128
V181,0.813,-4.358,0.055
V182,0.812,-4.360,0.055
V183,6.448,-1.646,0.129
V184,12.374,1.254,0.159
V185,6.448,-1.646,0.129
V186,-0.500,11.530,0.068
V187,6.448,-1.646,0.129
V188,31.112,1.000,0.880
V189,6.448,-1.646,0.130
V190,6.448,-1.646,0.130
V191,33.610,0.289,0.000
V192,6.448,-1.645,0.131
V193,6.449,-1.645,0.131
V194,6.449,-1.645,0.131
V195,6.449,-1.645,0.132
V196,6.449,-1.645,0.132
V197,33.613,0.289,0.000
V198,6.039,1.933,0.000
V199,3.997,2.914,0.000
V200,6.449,-1.645,0.133
V201,0.812,-4.361,0.056
V202,6.449,-1.645,0.133
V203,6.449,-1.645,0.133
V204,50.886,0.974,0.840
V205,33.043,0.985,0.200
V206,6.449,-1.645,0.134
V207,6.449,-1.645,0.134
V208,33.615,0.289,0.000
V209,0.812,-4.362,0.056
V210,6.449,-1.645,0.135
V211,6.449,-1.645,0.135
V212,6.449,-1.645,0.135
V213,6.233,1.258,0.042
V214,6.449,-1.645,0.136
V215,6.449,-1.644,0.136
V216,-8.083,2.953,0.323
V217,6.449,-1.644,0.136
V218,0.812,-4.361,0.056
V219,6.449,-1.644,0.137
V220,6.449,-1.644,0.137
V221,6.449,-1.644,0.137
V222,33.619,0.289,0.000
V223,6.449,-1.644,0.138
V224,6.449,-1.644,0.138
V225,6.864,0.874,0.001
V226,0.812,-4.359,0.056
V227,6.449,-1.644,0.139
V228,6.449,-1.644,0.139
V229,6.449,-1.644,0.140
V230,6.449,-1.644,0.140
V231,6.449,-1.644,0.140
V232,6.449,-1.644,0.141
V233,6.449,-1.644,0.141
V234,6.449,-1.644,0.141
V235,6.449,-1.643,0.142
V236,0.812,-4.358,0.056
V237,6.449,-1.643,0.142
V238,6.449,-1.643,0.142
V239,6.449,-1.643,0.143
V240,6.449,-1.643,0.143
V241,16.265,0.530,0.000
V242,6.449,-1.643,0.143
V243,33.627,0.289,0.000
V244,6.449,-1.643,0.144
V245,2.983,-0.438,0.168
V246,6.449,-1.643,0.144
V247,6.449,-1.643,0.145
V248,6.449,-1.643,0.145
V249,6.449,-1.643,0.145
V250,0.813,-4.358,0.057
V251,6.449,-1.643,0.146
V252,6.449,-1.643,0.146
V253,16.197,0.484,0.000
V254,6.449,-1.643,0.146
V255,6.449,-1.643,0.147
V256,6.449,-1.642,0.147
V257,33.631,0.289,0.000
V258,6.449,-1.642,0.148
V259,6.449,-1.642,0.148
V260,6.449,-1.642,0.148
V261,33.633,0.289,0.000
V262,6.449,-1.642,0.149
V263,0.813,-4.357,0.057
V264,6.449,-1.642,0.149
V265,0.812,-4.357,0.057
V266,6.449,-1.642,0.150
V267,6.449,-1.642,0.150
V268,33.635,0.289,0.000
V269,6.449,-1.642,0.151
V270,2.992,-0.424,0.190
V271,9.336,2.097,0.018
V272,35.158,1.010,0.000
V273,-26.845,-0.307,0.561
V274,6.450,-1.642,0.151
V275,6.450,-1.642,0.152
V276,2.961,-0.473,0.107
V277,6.450,-1.642,0.152
V278,6.450,-1.642,0.152
V279,33.637,0.289,0.000
V280,6.450,-1.641,0.153
V281,6.450,-1.641,0.153
V282,6.450,-1.641,0.154
V283,6.450,-1.641,0.154
V284,6.450,-1.641,0.154
V285,6.450,-1.641,0.155
V286,6.450,-1.641,0.155
V287,33.640,0.289,0.000
V288,6.450,-1.641,0.156
V289,12.856,0.868,0.913
V290,6.450,-1.641,0.156
V291,33.642,0.289,0.000
V292,6.450,-1.641,0.157
V293,6.450,-1.641,0.157
V294,0.812,-4.357,0.057
V295,0.833,-2.281,0.012
V296,33.643,0.289,0.000
V297,6.450,-1.641,0.158
V298,6.450,-1.640,0.158
V299,27.681,1.437,0.000
V300,6.450,-1.640,0.158
V301,6.450,-1.640,0.159
V302,2.961,-0.472,0.108
V303,6.450,-1.640,0.159
V304,6.450,-1.640,0.159
V305,6.450,-1.640,0.160
V306,6.450,-1.640,0.160
V307,6.450,-1.640,0.161
V308,0.812,-4.357,0.057
V309,19.201,0.515,0.000
V310,2.984,-0.437,0.169
V311,6.450,-1.640,0.161
V312,6.450,-1.640,0.162
V313,0.812,-4.357,0.058
V314,33.648,0.289,0.000
V315,33.648,0.289,0.000
V316,6.450,-1.640,0.163
V317,6.450,-1.640,0.163
V318,33.650,0.289,0.000
V319,6.450,-1.639,0.164
V320,6.450,-1.639,0.164
V321,6.450,-1.639,0.164
V322,-1.962,4.666,0.169
V323,6.450,-1.639,0.165
V324,6.450,-1.639,0.165
V325,0.812,-4.356,0.058
V326,2.961,-0.472,0.109
V327,6.450,-1.639,0.165
V328,16.265,0.530,0.000
V329,6.450,-1.639,0.166
V330,6.450,-1.639,0.166
V331,6.450,-1.639,0.167
V332,6.450,-1.639,0.167
V333,6.450,-1.639,0.167
V334,0.813,-4.355,0.058
V335,6.450,-1.639,0.168
V336,6.450,-1.639,0.168
V337,6.450,-1.639,0.168
V338,0.813,-4.354,0.058
V339,6.450,-1.639,0.169
V340,6.450,-1.638,0.169
V341,6.450,-1.638,0.169
V342,6.450,-1.638,0.170
V343,0.813,-4.354,0.058
V344,33.657,0.289,0.000
V345,6.450,-1.638,0.170
V346,6.450,-1.638,0.171
V347,33.658,0.289,0.000
V348,2.961,-0.471,0.109
V349,6.450,-1.638,0.172
V350,6.450,-1.638,0.172
V351,6.450,-1.638,0.172
V352,2.962,-0.471,0.110
V353,33.660,0.289,0.000
V354,2.962,-0.470,0.111
V355,6.450,-1.638,0.173
V356,31.076,1.038,0.880
V357,2.994,-0.422,0.194
V358,12.864,0.871,0.914
V359,6.450,-1.638,0.173
V360,6.450,-1.638,0.174
V361,2.984,-0.436,0.170
V362,33.661,0.289,0.000
V363,6.450,-1.638,0.174
V364,6.450,-1.637,0.175
V365,6.450,-1.637,0.175
V366,33.663,0.289,0.000
V367,-35.146,-0.272,0.909
V368,6.450,-1.637,0.176
V369,6.450,-1.637,0.176
V370,6.450,-1.637,0.177
V371,6.450,-1.637,0.177
V372,6.450,-1.637,0.177
V373,32.327,0.979,0.280
V374,6.450,-1.637,0.178
V375,6.450,-1.637,0.178
V376,-2.087,4.279,0.019
V377,16.197,0.484,0.000
V378,-2.876,-0.702,0.010
V379,6.450,-1.637,0.178
V380,6.450,-1.637,0.179
V381,0.813,-4.353,0.058
V382,6.450,-1.637,0.179
V383,6.450,-1.637,0.179
V384,6.450,-1.637,0.180
V385,6.450,-1.636,0.180
V386,6.450,-1.636,0.181
V387,6.450,-1.636,0.181
V388,6.450,-1.636,0.181
V389,6.450,-1.636,0.182
V390,6.450,-1.636,0.182
V391,33.670,0.289,0.000
V392,33.671,0.289,0.000
V393,6.450,-1.636,0.183
V394,6.450,-1.636,0.183
V395,16.197,0.484,0.000
V396,6.450,-1.636,0.184
V397,6.450,-1.636,0.184
V398,6.450,-1.636,0.185
V399,6.450,-1.636,0.185
V400,6.450,-1.636,0.185
V401,6.450,-1.636,0.186
V402,12.876,0.873,0.914
V403,6.450,-1.635,0.186
V404,33.675,0.289,0.000
V405,6.450,-1.635,0.187
V406,33.675,0.289,0.000
V407,6.450,-1.635,0.187
V408,6.450,-1.635,0.188
V409,33.677,0.289,0.000
V410,16.566,0.489,0.000
V411,2.962,-0.470,0.112
V412,6.450,-1.635,0.189
V413,-13.014,3.540,0.239
V414,6.451,-1.635,0.189
V415,0.784,-3.689,0.036
V416,33.678,0.289,0.000
V417,6.451,-1.635,0.190
V418,6.451,-1.635,0.190
V419,2.280,-0.244,0.002
V420,6.451,-1.635,0.190
V421,6.451,-1.635,0.191
V422,0.813,-4.352,0.059
V423,33.680,0.289,0.000
V424,2.963,-0.470,0.113
V425,6.451,-1.634,0.192
V426,6.451,-1.634,0.192
V427,6.451,-1.634,0.192
V428,32.853,0.989,0.160
V429,2.963,-0.469,0.114
V430,6.451,-1.634,0.193
V431,0.780,-3.725,0.041
V432,6.451,-1.634,0.193
V433,6.451,-1.634,0.193
V434,6.451,-1.634,0.194
V435,0.813,-4.352,0.059
V436,33.683,0.289,0.000
V437,3.041,-0.236,0.001
V438,6.451,-1.634,0.195
V439,6.451,-1.634,0.195
V440,34.202,1.010,0.000
V441,33.684,0.289,0.000
V442,6.451,-1.634,0.196
V443,33.685,0.289,0.000
V444,6.451,-1.634,0.197
V445,6.451,-1.633,0.197
V446,6.451,-1.633,0.197
V447,0.813,-4.352,0.059
V448,16.197,0.484,0.000
V449,6.451,-1.633,0.198
V450,6.451,-1.633,0.198
V451,6.451,-1.633,0.199
V452,0.813,-4.352,0.059
V453,2.963,-0.469,0.114
V454,2.985,-0.436,0.171
V455,6.451,-1.633,0.199
V456,-3.151,3.354,0.000
V457,6.451,-1.633,0.199
V458,6.451,-1.633,0.200
V459,6.451,-1.633,0.200
V460,33.689,0.289,0.000
V461,6.451,-1.633,0.201
V462,6.451,-1.633,0.201
