Clf,Score
rand3,60.148999999999994
minoritario,60.148999999999994
pessimo,60.148999999999994
BernoulliNB,458.69455445379657
SVM,458.6946486067309
majoritario,458.6946486067309
rand1,462.8179920478871
rand2,464.7672238080118
GaussianNB,475.01754759808915
KNeighborsClassifier(8),477.79633784640356
RandomForestClassifier(3_estimators),477.9110422359401
KNeighborsClassifier(2),478.3055396622234
KNeighborsClassifier(5),479.4122308883323
RandomForestClassifier,479.81120579898334
KNeighborsClassifier(3),480.0214644722971
MLPClassifier,480.1044409316594
RandomForestClassifier(5_estimators),482.3836984633832
otimo,482.54792747416985
DecisionTreeClassifier(),482.58577252874096
