Clf,Theta
GaussianNB,1.4679861307249205
BernoulliNB,0.701292211579445
KNeighborsClassifier(2),1.9143192065542338
KNeighborsClassifier(3),2.231847882462751
KNeighborsClassifier(5),2.112747779728294
KNeighborsClassifier(8),1.8169136424480639
DecisionTreeClassifier(),2.767694961500432
RandomForestClassifier(3_estimators),1.8389544646514553
RandomForestClassifier(5_estimators),2.731004907082581
RandomForestClassifier,2.187840026223635
SVM,0.7013003215618092
MLPClassifier,2.250443216674239
rand1,0.9759407528082491
rand2,1.0181879857314413
rand3,-inf
majoritario,0.7013003215618092
minoritario,-inf
pessimo,-inf
otimo,2.759443865443058
