Metodo,Acuracia
GaussianNB,0.8990565234512191
BernoulliNB,0.9456088164238354
KNeighborsClassifier(2),0.9748789391343216
KNeighborsClassifier(3),0.9804094251870458
KNeighborsClassifier(5),0.9776433839571738
KNeighborsClassifier(8),0.972805738551101
DecisionTreeClassifier(),0.9762624918849309
RandomForestClassifier(3_estimators),0.9769542682602357
RandomForestClassifier(5_estimators),0.9817924458019818
RandomForestClassifier,0.9804088930513725
SVM,0.9479140281606198
MLPClassifier,0.974648524387778
rand1,0.516
rand2,0.534
rand3,0.458
majoritario,0.946
minoritario,0.054
pessimo,0.0
otimo,1.0
