Metodo,Acuracia
GaussianNB,0.8458333333333334
BernoulliNB,0.85
KNeighborsClassifier(2),0.9989583333333334
KNeighborsClassifier(3),0.9989583333333334
KNeighborsClassifier(5),0.9989583333333334
KNeighborsClassifier(8),1.0
DecisionTreeClassifier(),0.9854166666666666
RandomForestClassifier(3_estimators),0.9875
RandomForestClassifier(5_estimators),0.990625
RandomForestClassifier,0.9947916666666667
SVM,1.0
MLPClassifier,1.0
rand1,0.49514563106796117
rand2,0.4587378640776699
rand3,0.5169902912621359
majoritario,0.5558252427184466
minoritario,0.4441747572815534
pessimo,0.0
otimo,1.0
