Metodo,Acuracia
GaussianNB,0.8252427184466019
BernoulliNB,0.8300970873786407
KNeighborsClassifier(2),1.0
KNeighborsClassifier(3),1.0
KNeighborsClassifier(5),1.0
KNeighborsClassifier(8),1.0
DecisionTreeClassifier(),0.9854368932038835
RandomForestClassifier(3_estimators),0.9975728155339806
RandomForestClassifier(5_estimators),0.9927184466019418
RandomForestClassifier,0.9902912621359223
SVM,1.0
MLPClassifier,1.0
rand1,0.49514563106796117
rand2,0.4587378640776699
rand3,0.5169902912621359
majoritario,0.5558252427184466
minoritario,0.4441747572815534
pessimo,0.0
otimo,1.0
