,Discriminacao,Dificuldade,Adivinhacao
V1,5.070,-1.340,0.028
V2,6.210,-0.384,0.447
V3,4.636,-1.447,0.044
V4,1.374,-2.554,0.063
V5,7.657,-0.308,0.341
V6,3.586,-1.222,0.034
V7,1.245,-2.661,0.070
V8,5.660,-1.346,0.025
V9,4.636,-1.447,0.044
V10,1.374,-2.554,0.064
V11,1.964,-1.280,0.038
V12,1.463,-2.154,0.082
V13,1.117,-2.632,0.089
V14,3.381,-1.477,0.036
V15,3.254,-0.592,0.136
V16,5.734,-1.017,0.220
V17,4.518,-1.405,0.152
V18,6.980,0.768,0.285
V19,6.658,0.135,0.328
V20,7.891,1.508,0.404
V21,8.888,1.509,0.313
V22,4.763,-1.331,0.040
V23,3.395,-1.349,0.037
V24,1.452,-2.396,0.070
V25,4.845,-1.451,0.031
V26,1.351,-1.774,0.192
V27,5.072,-1.452,0.028
V28,1.371,-2.900,0.055
V29,1.411,-2.250,0.073
V30,1.117,-2.633,0.089
V31,3.398,-1.350,0.035
V32,5.781,-1.452,0.025
V33,2.289,-0.956,0.048
V34,3.745,-0.480,0.522
V35,5.161,-1.164,0.138
V36,1.132,-2.393,0.112
V37,1.341,-1.793,0.188
V38,1.380,-2.535,0.066
V39,1.374,-2.553,0.064
V40,1.466,-2.149,0.080
V41,4.763,-1.331,0.040
V42,8.137,-0.199,0.489
V43,6.107,-1.563,0.025
V44,2.849,-0.364,0.235
V45,4.636,-1.447,0.044
V46,5.237,-1.342,0.027
V47,4.447,-1.222,0.091
V48,1.128,-2.401,0.119
V49,1.366,-2.895,0.059
V50,5.070,-1.340,0.028
V51,1.466,-2.150,0.080
V52,5.660,-1.346,0.025
V53,5.085,-1.216,0.035
V54,1.254,-2.421,0.079
V55,5.836,-1.058,0.117
V56,5.312,-1.567,0.028
V57,6.107,-1.563,0.025
V58,4.636,-1.447,0.044
V59,5.660,-1.346,0.025
V60,1.059,-2.250,0.141
V61,4.763,-1.331,0.040
V62,1.474,-2.138,0.076
V63,4.763,-1.331,0.040
V64,1.371,-2.899,0.055
V65,7.236,-0.215,0.486
V66,6.491,-0.062,0.470
V67,4.636,-1.447,0.044
V68,1.371,-2.899,0.056
V69,4.695,-1.567,0.048
V70,1.130,-2.398,0.116
V71,1.353,-1.770,0.193
V72,5.924,-0.555,0.152
V73,1.367,-2.575,0.061
V74,5.781,-1.452,0.025
V75,7.371,-0.287,0.404
V76,5.285,-1.453,0.027
V77,1.132,-2.393,0.112
V78,1.174,-2.611,0.076
V79,1.196,-2.342,0.119
V80,2.289,-0.955,0.049
V81,1.016,-3.375,0.077
V82,1.539,-0.295,0.051
V83,6.909,-0.299,0.465
V84,1.128,-2.401,0.119
V85,5.660,-1.346,0.026
V86,1.117,-2.634,0.089
V87,1.371,-2.899,0.056
V88,1.355,-1.766,0.194
V89,1.681,-1.549,0.168
V90,2.592,-0.429,0.264
V91,1.357,-1.763,0.195
V92,1.503,-3.103,0.052
V93,5.153,-1.164,0.138
V94,1.195,-2.345,0.118
V95,4.763,-1.331,0.040
V96,1.380,-2.535,0.066
V97,4.763,-1.331,0.040
V98,1.129,-2.398,0.116
V99,4.635,-1.447,0.044
V100,4.694,-1.567,0.048
V101,1.478,-1.962,0.102
V102,6.306,0.176,0.381
V103,5.804,-1.233,0.026
V104,1.411,-2.249,0.073
V105,5.781,-1.452,0.025
V106,5.285,-1.453,0.027
V107,1.371,-2.899,0.056
V108,4.965,-1.452,0.029
V109,2.679,-1.220,0.043
V110,2.913,-1.083,0.043
V111,4.635,-1.447,0.044
V112,1.476,-1.966,0.099
V113,1.198,-2.336,0.121
V114,1.380,-2.535,0.066
V115,1.374,-2.553,0.064
V116,1.374,-2.553,0.064
V117,5.161,-1.164,0.138
V118,7.308,-1.138,0.022
V119,1.380,-2.535,0.066
V120,1.380,-2.535,0.067
V121,5.501,-0.540,0.219
V122,3.395,-1.349,0.037
V123,5.285,-1.453,0.027
V124,4.694,-1.567,0.048
V125,4.574,-1.220,0.090
V126,5.938,-0.091,0.459
V127,3.585,-1.221,0.036
V128,4.402,-1.226,0.087
V129,1.462,-2.155,0.082
V130,3.153,1.078,0.335
V131,3.687,-0.332,0.292
V132,5.567,-1.567,0.026
V133,4.763,-1.331,0.041
V134,5.567,-1.567,0.026
V135,6.316,1.069,0.336
V136,5.781,-1.452,0.025
V137,5.971,0.583,0.365
V138,5.152,-1.164,0.138
V139,4.698,-1.449,0.034
V140,5.270,0.103,0.273
V141,5.567,-1.567,0.026
V142,1.412,-2.248,0.073
V143,1.412,-2.248,0.074
V144,5.567,-1.567,0.026
V145,1.132,-2.394,0.112
V146,7.318,-0.282,0.407
V147,5.240,0.565,0.446
V148,6.213,0.236,0.438
V149,4.965,-1.452,0.029
V150,5.285,-1.453,0.027
V151,1.367,-2.575,0.062
V152,1.714,-1.418,0.242
V153,5.660,-1.346,0.026
V154,5.660,-1.346,0.026
V155,1.129,-2.399,0.117
V156,4.786,-1.335,0.032
V157,7.664,-0.308,0.341
V158,4.866,-1.451,0.030
V159,1.503,-3.103,0.053
V160,1.374,-2.553,0.064
V161,1.502,-3.103,0.053
V162,4.463,-1.220,0.092
V163,5.660,-1.346,0.026
V164,1.368,-2.897,0.058
V165,4.946,-1.339,0.029
V166,5.070,-1.340,0.028
V167,4.710,-1.282,0.147
V168,4.007,-1.097,0.031
V169,6.785,-0.293,0.468
V170,5.273,0.103,0.273
V171,4.635,-1.447,0.044
V172,4.635,-1.447,0.044
V173,4.635,-1.447,0.044
V174,4.965,-1.452,0.029
V175,5.083,-1.216,0.036
V176,1.374,-2.552,0.064
V177,1.196,-2.341,0.120
V178,1.367,-2.574,0.062
V179,4.634,-1.447,0.044
V180,6.839,0.870,0.418
V181,4.634,-1.447,0.044
V182,1.918,-0.862,0.340
V183,5.780,-1.452,0.025
V184,5.311,-1.567,0.028
V185,4.955,-1.688,0.052
V186,5.169,-1.164,0.138
V187,5.160,-1.164,0.138
V188,6.772,-0.971,0.083
V189,4.787,-0.263,0.538
V190,5.566,-1.567,0.026
V191,2.913,-1.083,0.043
V192,4.972,-0.734,0.132
V193,5.152,-1.164,0.138
V194,3.700,-0.118,0.557
V195,1.380,-2.534,0.067
V196,3.395,-1.349,0.037
V197,4.924,-1.338,0.030
V198,0.992,-2.299,0.220
V199,1.412,-2.828,0.062
V200,5.152,-1.164,0.138
V201,5.311,-1.567,0.028
V202,4.007,-1.097,0.031
V203,1.368,-2.897,0.058
V204,7.252,-0.215,0.486
V205,1.128,-2.402,0.119
V206,1.380,-2.534,0.067
V207,1.502,-3.103,0.053
V208,5.345,1.411,0.377
V209,5.072,-1.452,0.028
V210,5.504,0.566,0.404
V211,2.913,-1.016,0.141
V212,5.311,-1.567,0.028
V213,6.212,0.235,0.438
V214,1.710,-1.422,0.241
