Metodo,Acuracia
GaussianNB,0.9392603129445236
BernoulliNB,0.9153627311522049
KNeighborsClassifier(2),0.8647226173541963
KNeighborsClassifier(3),0.9233997155049789
KNeighborsClassifier(5),0.9285917496443814
KNeighborsClassifier(8),0.9285917496443812
DecisionTreeClassifier(),0.896728307254623
RandomForestClassifier(3_estimators),0.9073257467994308
RandomForestClassifier(5_estimators),0.9101706970128023
RandomForestClassifier,0.9232574679943101
SVM,0.9153627311522049
MLPClassifier,0.9418207681365576
rand1,0.5555555555555556
rand2,0.5308641975308642
rand3,0.47530864197530864
majoritario,0.9135802469135802
minoritario,0.08641975308641975
pessimo,0.0
otimo,1.0
