Metodo,Acuracia
GaussianNB,0.9567901234567902
BernoulliNB,0.9135802469135802
KNeighborsClassifier(2),0.8827160493827161
KNeighborsClassifier(3),0.9197530864197531
KNeighborsClassifier(5),0.9320987654320988
KNeighborsClassifier(8),0.9259259259259259
DecisionTreeClassifier(),0.8950617283950617
RandomForestClassifier(3_estimators),0.9074074074074074
RandomForestClassifier(5_estimators),0.9135802469135802
RandomForestClassifier,0.9259259259259259
SVM,0.9135802469135802
MLPClassifier,0.9444444444444444
rand1,0.5555555555555556
rand2,0.5308641975308642
rand3,0.47530864197530864
majoritario,0.9135802469135802
minoritario,0.08641975308641975
pessimo,0.0
otimo,1.0
