,Discriminacao,Dificuldade,Adivinhacao
V1,37.477,-0.678,0.000
V2,-3.680,-0.692,0.000
V3,83.844,-0.394,0.333
V4,34.374,-0.678,0.000
V5,49.338,-0.623,0.200
V6,3.344,-1.350,0.000
V7,50.319,-0.624,0.200
V8,-3.110,-0.773,0.000
V9,-44.890,-1.379,0.052
V10,35.916,-0.030,0.333
V11,34.671,-0.678,0.000
V12,5.771,-0.457,0.000
V13,39.415,-0.650,0.000
V14,5.771,-0.457,0.000
V15,50.281,-0.624,0.200
V16,38.633,-0.706,0.000
V17,36.944,-0.678,0.000
V18,43.137,-0.289,0.000
V19,3.153,-1.018,0.000
V20,37.475,-0.678,0.000
V21,38.626,-0.706,0.000
V22,4.165,-1.094,0.000
V23,37.137,-0.678,0.000
V24,4.213,-0.767,0.000
V25,4.213,-0.767,0.000
V26,5.771,-0.457,0.000
V27,-3.421,-0.459,0.000
V28,33.968,-0.710,0.000
V29,42.103,-0.666,0.200
V30,37.470,-0.678,0.000
V31,40.146,-0.651,0.000
V32,71.862,-0.384,0.333
V33,-2.072,-0.673,0.000
V34,130.456,0.502,0.475
V35,33.978,-0.710,0.000
V36,15.788,-0.069,0.333
V37,71.953,-0.384,0.333
V38,37.655,-0.707,0.000
V39,37.157,-0.678,0.000
V40,4.165,-1.094,0.000
V41,37.099,-0.664,0.200
V42,33.331,-0.711,0.000
V43,-47.349,-1.704,0.058
V44,37.464,-0.678,0.000
V45,37.225,-0.901,0.000
V46,52.755,-0.627,0.200
V47,49.933,-0.624,0.200
V48,38.863,-0.650,0.000
V49,37.461,-0.678,0.000
V50,40.160,-0.651,0.000
V51,4.165,-1.094,0.000
V52,4.165,-1.094,0.000
V53,39.434,-0.650,0.000
V54,42.156,-0.666,0.200
V55,3.109,-1.185,0.000
V56,38.890,-0.650,0.000
V57,34.692,-0.678,0.000
V58,29.035,-0.073,0.222
V59,35.814,-0.664,0.200
V60,34.272,-0.678,0.000
V61,3.344,-1.350,0.000
V62,83.563,-0.394,0.333
V63,43.037,-0.287,0.000
V64,3.819,-0.677,0.000
V65,3.153,-1.018,0.000
V66,37.458,-0.678,0.000
V67,3.153,-1.018,0.000
V68,4.165,-1.094,0.000
V69,42.148,-0.666,0.200
V70,42.090,-0.666,0.200
V71,26.095,-1.386,0.000
V72,20.964,-0.040,0.444
V73,27.454,-1.335,0.000
V74,-38.329,-1.348,0.134
V75,41.564,-0.666,0.200
V76,41.213,-0.666,0.200
V77,32.102,-0.662,0.200
V78,35.157,-0.647,0.000
V79,34.712,-0.678,0.000
V80,-2.597,-0.790,0.000
V81,52.531,-0.626,0.200
V82,33.989,-0.710,0.000
V83,3.986,-0.929,0.000
V84,4.725,-0.541,0.188
V85,-2.629,-0.485,0.000
V86,4.213,-0.767,0.000
V87,36.786,-0.946,0.000
V88,42.912,-0.286,0.000
V89,-3.680,-0.692,0.000
V90,4.165,-1.094,0.000
V91,4.165,-1.094,0.000
V92,4.749,-0.611,0.000
V93,42.075,-0.666,0.200
V94,50.245,-0.624,0.200
V95,33.107,-0.711,0.000
V96,35.802,-0.678,0.000
V97,41.563,-0.666,0.200
V98,3.344,-1.350,0.000
V99,42.266,-0.020,0.444
V100,5.771,-0.457,0.000
V101,37.195,-0.678,0.000
V102,36.297,-0.987,0.000
V103,41.563,-0.666,0.200
V104,34.041,-0.678,0.000
V105,34.732,-0.678,0.000
V106,37.669,-0.707,0.000
V107,26.386,-1.333,0.000
V108,52.866,-0.627,0.200
V109,49.982,-0.624,0.200
V110,-19.705,-1.398,0.022
V111,3.153,-1.018,0.000
V112,42.142,-0.666,0.200
V113,50.797,-0.625,0.200
V114,34.999,-0.647,0.000
V115,41.190,-0.666,0.200
V116,4.165,-1.094,0.000
V117,39.453,-0.650,0.000
V118,37.204,-0.678,0.000
V119,34.752,-0.678,0.000
V120,21.238,-0.040,0.444
V121,34.972,-0.647,0.000
V122,-2.722,-0.855,0.000
V123,3.112,-1.185,0.000
V124,38.618,-0.706,0.000
V125,52.377,-0.626,0.200
V126,37.097,-0.664,0.200
V127,39.471,-0.650,0.000
V128,3.108,-1.185,0.000
V129,38.916,-0.650,0.000
V130,-44.172,-1.346,0.067
V131,4.165,-1.094,0.000
V132,4.165,-1.094,0.000
V133,35.495,-1.058,0.000
V134,32.958,-0.711,0.000
V135,32.933,-0.711,0.000
V136,35.088,-1.105,0.000
V137,24.434,-0.053,0.222
V138,36.934,-0.678,0.000
V139,49.361,-0.623,0.200
V140,34.000,-0.710,0.000
V141,32.883,-0.711,0.000
V142,35.840,-0.067,0.000
V143,38.611,-0.706,0.000
V144,40.174,-0.651,0.000
V145,28.325,-0.075,0.222
V146,33.836,-0.678,0.000
V147,34.010,-0.710,0.000
V148,4.213,-0.767,0.000
V149,34.772,-0.678,0.000
V150,3.108,-1.185,0.000
V151,-2.688,-1.108,0.000
V152,34.021,-0.710,0.000
V153,75.414,-0.346,0.111
V154,32.833,-0.712,0.000
V155,49.374,-0.623,0.200
V156,38.604,-0.707,0.000
V157,42.060,-0.666,0.200
V158,34.791,-0.678,0.000
V159,42.587,-0.282,0.000
V160,3.804,-0.800,0.000
V161,37.446,-0.678,0.000
V162,42.044,-0.666,0.200
