Metodo,Acuracia
GaussianNB,0.7085714285714286
BernoulliNB,0.7157142857142857
KNeighborsClassifier(2),0.68
KNeighborsClassifier(3),0.6528571428571429
KNeighborsClassifier(5),0.6557142857142857
KNeighborsClassifier(8),0.6957142857142858
DecisionTreeClassifier(),0.6557142857142857
RandomForestClassifier(3_estimators),0.6742857142857143
RandomForestClassifier(5_estimators),0.6900000000000001
RandomForestClassifier,0.7285714285714286
SVM,0.7
MLPClassifier,0.5957142857142859
rand1,0.47
rand2,0.5333333333333333
rand3,0.5
majoritario,0.7
minoritario,0.3
pessimo,0.0
otimo,1.0
