Metodo,Acuracia
GaussianNB,0.77
BernoulliNB,0.7033333333333334
KNeighborsClassifier(2),0.67
KNeighborsClassifier(3),0.6666666666666666
KNeighborsClassifier(5),0.6633333333333333
KNeighborsClassifier(8),0.7166666666666667
DecisionTreeClassifier(),0.6733333333333333
RandomForestClassifier(3_estimators),0.7533333333333333
RandomForestClassifier(5_estimators),0.7333333333333333
RandomForestClassifier,0.7833333333333333
SVM,0.7
MLPClassifier,0.7
rand1,0.47
rand2,0.5333333333333333
rand3,0.5
majoritario,0.7
minoritario,0.3
pessimo,0.0
otimo,1.0
