,Discriminacao,Dificuldade,Adivinhacao
V1,0.802,2.012,0.000
V2,-2.146,1.886,0.000
V3,-3.115,0.808,0.000
V4,1.378,2.587,0.000
V5,-2.057,1.719,0.000
V6,1.977,0.215,0.000
V7,-4.561,-0.146,0.000
V8,-1.030,2.279,0.000
V9,-0.997,3.201,0.000
V10,-1.286,1.715,0.000
V11,-2.015,-0.273,0.000
V12,2.149,-0.090,0.000
V13,-1.020,2.682,0.000
V14,-1.385,-0.016,0.000
V15,-7.487,0.988,0.000
V16,1.667,-0.056,0.000
V17,-2.880,0.125,0.000
V18,1.981,0.421,0.000
V19,-2.686,-0.016,0.000
V20,2.155,-0.232,0.000
V21,-1.182,1.457,0.000
V22,-3.134,0.591,0.000
V23,3.283,-0.080,0.000
V24,-1.385,2.423,0.000
V25,-2.055,-0.640,0.000
V26,-2.410,-0.601,0.000
V27,-2.606,-0.247,0.000
V28,-3.448,-0.266,0.000
V29,-1.886,0.429,0.000
V30,2.273,-0.689,0.000
V31,-3.760,0.478,0.000
V32,-3.169,0.117,0.000
V33,-3.538,0.109,0.000
V34,2.053,-0.686,0.000
V35,0.886,1.866,0.000
V36,0.902,1.663,0.000
V37,0.999,1.627,0.000
V38,-1.496,2.198,0.000
V39,-1.610,1.705,0.000
V40,-1.032,2.527,0.000
V41,-3.208,0.536,0.000
V42,1.928,-0.029,0.000
V43,-66.619,0.686,0.000
V44,-1.004,1.227,0.000
V45,-25.845,0.656,0.000
V46,0.913,1.401,0.000
V47,1.966,-0.363,0.000
V48,-1.978,1.423,0.000
V49,0.792,2.344,0.000
V50,1.063,0.023,0.000
V51,-3.123,0.324,0.000
V52,-5.625,0.481,0.000
V53,-3.476,0.643,0.000
V54,-2.789,-0.252,0.000
V55,-3.981,0.311,0.000
V56,-4.120,0.001,0.000
V57,1.632,2.110,0.000
V58,2.347,-0.004,0.000
V59,2.430,-0.242,0.000
V60,-0.819,2.639,0.000
V61,-2.725,-0.065,0.000
V62,2.404,-0.690,0.000
V63,-3.538,0.109,0.000
V64,1.600,0.747,0.000
V65,2.410,-0.601,0.000
V66,-0.769,2.884,0.000
V67,-4.452,0.250,0.000
V68,-6.406,0.920,0.000
V69,3.315,0.481,0.000
V70,-1.291,0.904,0.000
V71,-1.181,2.783,0.000
V72,-1.669,0.350,0.000
V73,1.345,1.589,0.000
V74,1.159,0.041,0.000
V75,-1.510,1.501,0.000
V76,1.450,0.282,0.000
V77,-4.422,0.477,0.000
V78,-1.675,0.509,0.000
V79,-2.451,-0.513,0.000
V80,-1.906,0.272,0.000
V81,-2.186,-0.508,0.000
V82,-3.483,0.317,0.000
V83,-1.484,0.895,0.000
V84,-1.507,1.982,0.099
V85,2.114,-0.277,0.000
V86,-1.339,0.884,0.000
V87,1.947,-0.637,0.000
V88,-3.530,0.060,0.000
V89,-1.609,2.588,0.000
V90,-0.703,2.133,0.114
V91,-3.134,0.591,0.000
V92,-0.659,2.351,0.000
V93,0.860,2.433,0.000
V94,-1.663,1.160,0.000
V95,2.687,-0.016,0.000
V96,2.151,-0.687,0.000
V97,0.827,2.621,0.000
V98,-2.373,0.663,0.000
V99,-0.852,2.225,0.000
V100,-3.078,0.754,0.000
V101,2.873,0.076,0.000
V102,-1.902,1.108,0.000
V103,-31.944,-0.007,0.026
V104,-1.910,1.864,0.000
V105,-1.828,0.331,0.000
V106,-1.310,1.789,0.000
V107,2.022,1.278,0.000
V108,-1.060,2.487,0.000
V109,-1.176,1.901,0.000
V110,2.562,-0.646,0.000
V111,-2.718,0.385,0.000
V112,1.349,1.427,0.000
V113,-1.215,0.814,0.000
V114,-3.467,0.698,0.000
V115,-3.708,-0.088,0.000
V116,-1.428,-0.271,0.000
V117,-1.182,1.457,0.000
V118,1.160,-0.904,0.000
V119,-1.251,2.402,0.000
V120,-4.037,0.643,0.000
V121,1.920,-0.173,0.000
V122,-1.691,1.961,0.000
V123,-1.495,1.430,0.000
V124,1.670,1.225,0.000
V125,2.018,-0.035,0.000
V126,-3.465,0.697,0.000
V127,1.365,-0.163,0.000
V128,-1.674,1.767,0.000
V129,-0.649,2.845,0.000
V130,-1.059,3.111,0.000
V131,3.108,-0.348,0.000
V132,-1.021,2.178,0.000
V133,-16.923,0.723,0.143
V134,-3.293,-0.395,0.000
V135,-1.020,2.682,0.000
V136,-3.678,0.369,0.000
V137,-1.763,1.642,0.000
V138,-1.926,1.166,0.000
V139,-2.675,0.980,0.000
V140,-1.087,2.898,0.000
V141,-1.599,2.416,0.000
V142,-1.412,1.470,0.000
V143,-2.832,0.435,0.000
V144,-2.308,1.116,0.000
V145,-1.220,3.117,0.000
V146,-3.476,0.643,0.000
V147,-1.763,-0.445,0.000
V148,-0.674,2.004,0.000
V149,1.004,1.228,0.000
V150,0.969,0.909,0.000
V151,-2.357,-0.286,0.000
V152,-3.788,0.259,0.000
V153,-3.134,0.591,0.000
V154,2.580,-0.108,0.000
