Metodo,Acuracia
GaussianNB,0.8304093567251462
BernoulliNB,0.7883040935672515
KNeighborsClassifier(2),0.6558479532163742
KNeighborsClassifier(3),0.7137426900584796
KNeighborsClassifier(5),0.6982456140350878
KNeighborsClassifier(8),0.7035087719298245
DecisionTreeClassifier(),0.7716374269005849
RandomForestClassifier(3_estimators),0.8309941520467836
RandomForestClassifier(5_estimators),0.7728070175438597
RandomForestClassifier,0.8307017543859649
SVM,0.5555555555555555
MLPClassifier,0.7520467836257311
rand1,0.38271604938271603
rand2,0.38271604938271603
rand3,0.5185185185185185
majoritario,0.5555555555555556
minoritario,0.4444444444444444
pessimo,0.0
otimo,1.0
