Metodo,Acuracia
GaussianNB,0.9012345679012346
BernoulliNB,0.8024691358024691
KNeighborsClassifier(2),0.5925925925925926
KNeighborsClassifier(3),0.5555555555555556
KNeighborsClassifier(5),0.5925925925925926
KNeighborsClassifier(8),0.5679012345679012
DecisionTreeClassifier(),0.7160493827160493
RandomForestClassifier(3_estimators),0.8148148148148148
RandomForestClassifier(5_estimators),0.8148148148148148
RandomForestClassifier,0.7654320987654321
SVM,0.5555555555555556
MLPClassifier,0.7901234567901234
rand1,0.38271604938271603
rand2,0.38271604938271603
rand3,0.5185185185185185
majoritario,0.5555555555555556
minoritario,0.4444444444444444
pessimo,0.0
otimo,1.0
