,Discriminacao,Dificuldade,Adivinhacao
V1,0.737,-1.444,0.001
V2,-0.136,-0.144,0.024
V3,4.214,-1.365,0.000
V4,0.556,-1.738,0.001
V5,3.083,-1.357,0.001
V6,27.349,-0.351,0.365
V7,20.325,1.361,0.241
V8,13.555,-1.351,0.000
V9,-17.112,-2.170,0.263
V10,-0.017,-43.600,0.112
V11,0.126,-1.000,0.056
V12,-9.104,-2.040,0.333
V13,17.359,0.002,0.273
V14,-12.476,-2.228,0.287
V15,0.100,0.369,0.087
V16,28.699,-0.345,0.329
V17,4.760,-0.198,0.385
V18,2.594,-1.567,0.000
V19,2.837,-1.579,0.000
V20,13.791,-1.433,0.000
V21,14.372,-1.314,0.000
V22,-0.269,-1.668,0.006
V23,0.338,-0.963,0.014
V24,0.053,2.739,0.090
V25,-0.087,0.065,0.057
V26,3.155,-1.592,0.000
V27,21.610,-0.004,0.362
V28,12.443,-1.355,0.100
V29,16.938,-0.074,0.293
V30,1.149,1.334,0.330
V31,2.655,-0.080,0.369
V32,4.140,0.998,0.257
V33,-3.215,-1.868,0.183
V34,4.458,-1.597,0.003
V35,3.263,0.136,0.319
V36,13.491,0.062,0.292
V37,13.340,-1.351,0.000
V38,1.641,1.673,0.414
V39,-0.368,-0.323,0.003
V40,19.817,-0.117,0.311
V41,0.862,-1.488,0.000
V42,0.379,-2.028,0.003
V43,0.883,-1.513,0.000
V44,3.124,-1.652,0.000
V45,-0.339,-0.515,0.002
V46,21.055,-0.071,0.312
V47,0.160,-4.034,0.032
V48,19.737,-0.118,0.293
V49,21.022,-0.042,0.381
V50,-0.596,-1.283,0.001
V51,-4.050,-1.427,0.092
V52,1.489,-1.564,0.000
V53,2.414,-1.839,0.000
V54,-5.076,-1.342,0.026
V55,-2.944,-1.830,0.073
V56,4.872,-1.472,0.000
V57,-0.524,-0.917,0.001
V58,1.126,-1.468,0.002
V59,16.738,-0.037,0.293
V60,14.359,-1.370,0.000
V61,-1.017,-1.201,0.000
V62,1.864,-1.244,0.071
V63,-4.140,-1.764,0.032
V64,2.237,-1.588,0.000
V65,-0.187,-1.503,0.018
V66,1.571,-1.524,0.000
V67,4.686,0.984,0.224
V68,1.728,-1.650,0.000
V69,3.449,0.210,0.372
V70,-3.027,-1.649,0.038
V71,14.041,-1.370,0.000
V72,21.224,-0.146,0.363
V73,11.384,0.573,0.326
V74,1.904,-1.232,0.074
V75,-3.558,-1.615,0.009
V76,-0.322,-1.481,0.001
V77,1.098,-2.094,0.001
V78,23.368,-0.051,0.330
V79,3.918,1.093,0.265
V80,12.197,-1.418,0.000
V81,-7.100,-1.930,0.067
