,Discriminacao,Dificuldade,Adivinhacao
V1,7.224,-1.453,0.011
V2,8.184,-1.330,0.011
V3,2.937,-1.936,0.035
V4,3.916,-1.237,0.017
V5,9.671,-0.726,0.363
V6,3.583,-1.354,0.016
V7,2.956,-1.773,0.016
V8,6.677,-0.717,0.583
V9,3.498,-1.405,0.016
V10,8.255,-1.331,0.011
V11,4.320,-1.144,0.019
V12,3.538,-1.129,0.055
V13,11.816,-0.576,0.363
V14,4.299,-1.145,0.018
V15,3.709,-1.074,0.115
V16,9.345,-0.667,0.544
V17,3.930,-1.230,0.017
V18,7.659,-1.388,0.011
V19,9.370,-0.667,0.544
V20,8.249,-1.331,0.011
V21,3.930,-1.228,0.017
V22,7.935,-1.164,0.474
V23,7.929,-1.170,0.470
V24,3.574,-1.358,0.016
V25,7.785,-1.386,0.012
V26,6.004,-0.669,0.633
V27,8.119,-1.333,0.012
V28,8.706,-0.168,0.401
V29,6.777,-0.718,0.583
V30,3.037,-1.360,0.027
V31,5.801,-0.546,0.266
V32,8.843,-1.278,0.011
V33,7.471,-1.393,0.011
V34,3.343,-1.458,0.015
V35,4.298,-1.144,0.018
V36,-1.268,-2.915,0.170
V37,9.406,-0.667,0.544
V38,7.784,-1.386,0.012
V39,9.809,0.083,0.461
V40,2.495,-1.210,0.017
V41,7.669,-1.386,0.012
V42,3.910,-1.239,0.016
V43,7.514,-1.449,0.012
V44,3.325,-1.472,0.015
V45,14.876,-0.416,0.399
V46,8.195,-1.330,0.012
V47,2.354,-1.890,0.050
V48,12.388,-0.526,0.449
V49,2.932,-1.941,0.036
V50,3.839,-1.030,0.143
V51,3.579,-1.355,0.016
V52,2.945,-1.384,0.023
V53,15.310,-0.407,0.467
V54,7.475,-1.440,0.012
V55,5.090,-0.369,0.619
V56,12.329,-0.526,0.449
V57,7.784,-1.386,0.012
V58,2.922,-1.402,0.022
V59,3.172,-1.565,0.015
V60,3.581,-1.355,0.016
V61,2.913,-1.413,0.014
V62,9.435,-1.095,0.421
V63,7.911,-1.163,0.474
V64,9.346,-1.095,0.421
V65,8.130,-1.330,0.011
V66,2.934,-1.953,0.039
V67,3.833,-1.507,0.252
V68,7.746,-1.387,0.011
V69,7.669,-1.491,0.011
V70,5.210,-0.372,0.573
V71,2.663,-1.395,0.053
V72,8.255,-1.331,0.011
V73,9.371,-0.701,0.453
V74,5.025,-0.370,0.365
V75,8.262,-1.330,0.012
V76,7.784,-1.386,0.012
V77,3.318,-1.478,0.015
V78,11.085,-0.613,0.272
V79,9.385,-0.667,0.545
V80,14.919,-0.416,0.399
V81,9.389,-0.701,0.453
V82,12.794,-0.472,0.527
V83,1.461,-2.117,0.047
V84,12.395,0.018,0.453
V85,7.903,-1.385,0.012
V86,9.421,-1.095,0.421
V87,7.686,-1.168,0.470
V88,3.316,-1.086,0.019
V89,8.086,-1.330,0.012
V90,7.513,-1.449,0.012
V91,8.843,-1.278,0.011
V92,3.342,-1.459,0.015
V93,2.920,-1.403,0.022
V94,7.714,-1.387,0.012
V95,7.474,-1.392,0.011
V96,3.583,-1.355,0.016
