Metodo,Acuracia
GaussianNB,0.9735177865612649
BernoulliNB,0.9865612648221344
KNeighborsClassifier(2),0.9820158102766798
KNeighborsClassifier(3),0.9820158102766798
KNeighborsClassifier(5),0.9820158102766798
KNeighborsClassifier(8),0.9685770750988143
DecisionTreeClassifier(),0.9731225296442687
RandomForestClassifier(3_estimators),0.9642292490118578
RandomForestClassifier(5_estimators),0.9644268774703558
RandomForestClassifier,0.9774703557312254
SVM,0.9863636363636363
MLPClassifier,0.9818181818181818
rand1,0.59375
rand2,0.5208333333333334
rand3,0.4791666666666667
majoritario,0.5
minoritario,0.5
pessimo,0.0
otimo,1.0
