Metodo,Acuracia
GaussianNB,0.9270833333333334
BernoulliNB,0.9791666666666666
KNeighborsClassifier(2),0.9895833333333334
KNeighborsClassifier(3),1.0
KNeighborsClassifier(5),1.0
KNeighborsClassifier(8),0.9895833333333334
DecisionTreeClassifier(),0.9270833333333334
RandomForestClassifier(3_estimators),0.96875
RandomForestClassifier(5_estimators),0.9791666666666666
RandomForestClassifier,0.9583333333333334
SVM,0.9895833333333334
MLPClassifier,1.0
rand1,0.59375
rand2,0.5208333333333334
rand3,0.4791666666666667
majoritario,0.5
minoritario,0.5
pessimo,0.0
otimo,1.0
