Metodo,Acuracia
GaussianNB,0.8489583333333334
BernoulliNB,0.8447916666666668
KNeighborsClassifier(2),1.0
KNeighborsClassifier(3),1.0
KNeighborsClassifier(5),1.0
KNeighborsClassifier(8),0.9989583333333334
DecisionTreeClassifier(),0.98125
RandomForestClassifier(3_estimators),0.9822916666666668
RandomForestClassifier(5_estimators),0.990625
RandomForestClassifier,0.9927083333333332
SVM,0.9968750000000002
MLPClassifier,1.0
rand1,0.4830097087378641
rand2,0.47815533980582525
rand3,0.529126213592233
majoritario,0.5558252427184466
minoritario,0.4441747572815534
pessimo,0.0
otimo,1.0
