Metodo,Acuracia
GaussianNB,0.8398058252427184
BernoulliNB,0.8422330097087378
KNeighborsClassifier(2),1.0
KNeighborsClassifier(3),1.0
KNeighborsClassifier(5),1.0
KNeighborsClassifier(8),1.0
DecisionTreeClassifier(),0.9878640776699029
RandomForestClassifier(3_estimators),0.9927184466019418
RandomForestClassifier(5_estimators),0.9902912621359223
RandomForestClassifier,0.9951456310679612
SVM,0.9951456310679612
MLPClassifier,1.0
rand1,0.4830097087378641
rand2,0.47815533980582525
rand3,0.529126213592233
majoritario,0.5558252427184466
minoritario,0.4441747572815534
pessimo,0.0
otimo,1.0
