,Discriminacao,Dificuldade,Adivinhacao
V1,2.228,-2.517,0.097
V2,4.743,-1.797,0.160
V3,5.600,-2.012,0.051
V4,3.364,-1.944,0.068
V5,6.021,0.136,0.436
V6,3.276,-1.480,0.131
V7,2.578,-1.816,0.105
V8,3.425,-1.690,0.087
V9,4.167,-1.435,0.080
V10,4.742,-1.797,0.161
V11,2.311,-2.167,0.090
V12,3.858,-2.053,0.235
V13,4.030,-1.193,0.193
V14,4.739,-1.798,0.161
V15,4.061,-0.304,0.250
V16,3.364,-1.944,0.068
V17,4.853,-1.644,0.052
V18,5.553,-0.690,0.292
V19,5.600,-2.012,0.051
V20,3.364,-1.944,0.068
V21,3.069,-1.289,0.179
V22,2.274,-2.200,0.070
V23,3.065,-1.394,0.177
V24,3.416,-1.667,0.110
V25,3.364,-1.943,0.068
V26,1.085,-1.535,0.058
V27,4.738,-1.798,0.161
V28,4.725,-1.023,0.180
V29,3.654,-1.625,0.114
V30,3.364,-1.943,0.068
V31,3.365,-1.943,0.069
V32,6.105,-0.788,0.366
V33,3.365,-1.943,0.069
V34,3.365,-1.943,0.069
V35,2.643,-1.806,0.099
V36,2.312,-2.166,0.091
V37,5.348,-1.019,0.267
V38,5.600,-2.012,0.052
V39,2.184,-2.530,0.085
V40,6.014,-0.839,0.189
V41,6.108,-0.788,0.367
V42,3.491,-1.288,0.135
V43,2.580,-1.815,0.106
V44,4.853,-1.644,0.053
V45,2.602,-0.937,0.235
V46,4.736,-1.799,0.162
V47,3.007,-1.518,0.132
V48,3.758,-0.990,0.225
V49,4.735,-1.799,0.162
V50,4.708,-0.967,0.287
V51,5.600,-2.012,0.052
V52,3.417,-1.667,0.110
V53,3.365,-1.943,0.069
V54,1.890,-1.216,0.184
V55,5.601,-2.012,0.052
V56,2.187,-2.524,0.080
V57,3.861,-2.050,0.238
V58,5.601,-2.012,0.052
V59,2.749,-1.232,0.207
V60,6.170,-0.838,0.198
V61,4.853,-1.644,0.053
V62,6.111,-0.788,0.367
V63,5.601,-2.012,0.053
V64,2.312,-2.166,0.091
V65,2.383,-1.161,0.232
V66,2.660,-1.403,0.134
V67,2.754,-1.229,0.208
V68,2.312,-2.166,0.091
V69,3.418,-1.667,0.110
V70,2.580,-1.815,0.106
V71,3.150,-1.935,0.096
V72,4.732,-1.800,0.162
V73,2.187,-2.523,0.081
V74,2.312,-2.166,0.091
V75,3.365,-1.942,0.070
V76,4.731,-1.800,0.163
V77,3.863,-2.048,0.240
V78,3.637,-1.914,0.065
V79,2.581,-1.814,0.107
V80,3.515,-1.072,0.182
V81,3.419,-1.666,0.111
V82,4.728,-1.801,0.163
V83,3.519,-1.070,0.182
V84,3.864,-2.047,0.242
V85,5.601,-2.012,0.053
V86,2.188,-2.523,0.081
V87,2.184,-2.530,0.085
V88,2.188,-2.523,0.081
V89,4.726,-1.801,0.164
V90,5.601,-2.012,0.053
V91,5.601,-2.012,0.053
V92,3.948,-1.416,0.135
V93,3.365,-1.942,0.070
V94,2.274,-2.200,0.070
V95,3.866,-2.045,0.243
V96,1.917,-1.794,0.134
V97,4.002,-1.255,0.175
V98,3.693,-1.480,0.089
V99,17.803,0.280,0.089
V100,2.313,-2.165,0.092
V101,2.310,-0.964,0.120
V102,2.313,-2.165,0.092
V103,5.601,-2.012,0.054
V104,12.566,0.626,0.449
V105,3.365,-1.942,0.070
V106,6.115,-0.787,0.368
V107,6.172,-0.838,0.199
V108,2.275,-2.200,0.070
V109,4.723,-1.802,0.164
V110,3.150,-1.935,0.096
V111,3.867,-2.044,0.245
V112,4.853,-1.644,0.053
V113,5.601,-2.012,0.054
V114,1.071,-1.267,0.086
V115,4.707,-1.222,0.128
V116,3.493,-1.287,0.136
V117,3.751,-1.667,0.076
V118,2.760,-1.227,0.209
V119,2.366,-2.142,0.098
V120,1.526,-1.354,0.203
V121,2.523,-2.396,0.066
V122,2.300,-1.867,0.127
V123,4.005,-1.255,0.176
V124,3.365,-1.942,0.070
V125,5.601,-2.012,0.054
V126,4.169,-1.434,0.081
V127,4.831,-1.017,0.186
V128,2.275,-2.199,0.071
V129,3.150,-1.935,0.097
V130,3.365,-1.942,0.071
V131,5.601,-2.012,0.054
V132,4.171,-1.434,0.081
V133,4.300,-1.047,0.161
V134,4.420,-0.975,0.285
V135,3.365,-1.942,0.071
V136,5.601,-2.012,0.055
V137,2.313,-2.165,0.092
V138,4.008,-1.254,0.176
V139,3.365,-1.941,0.071
V140,2.643,-1.806,0.099
V141,3.526,-1.068,0.184
V142,3.868,-2.043,0.245
V143,4.719,-1.803,0.165
V144,4.728,-1.022,0.181
V145,2.184,-2.530,0.086
V146,3.494,-1.287,0.136
V147,2.721,-1.763,0.112
V148,4.853,-1.644,0.053
V149,4.853,-1.644,0.053
V150,2.052,-1.989,0.110
V151,4.718,-1.804,0.165
V152,3.753,-1.368,0.088
V153,4.717,-1.804,0.166
V154,2.643,-1.806,0.099
V155,3.008,-1.517,0.132
V156,3.365,-1.941,0.071
V157,3.150,-1.935,0.097
V158,3.365,-1.941,0.071
V159,4.570,-1.048,0.161
V160,1.138,-2.156,0.112
V161,2.275,-2.199,0.071
V162,4.836,-1.016,0.187
V163,5.601,-2.012,0.055
V164,4.853,-1.644,0.054
V165,3.835,-1.673,0.063
V166,3.366,-1.941,0.072
V167,4.424,-0.974,0.285
V168,4.716,-1.804,0.166
V169,6.173,-0.838,0.199
V170,1.422,-1.045,0.068
V171,4.012,-1.253,0.177
V172,3.366,-1.941,0.072
V173,4.853,-1.644,0.054
V174,1.634,-1.658,0.139
V175,1.755,-1.904,0.115
V176,2.920,-1.548,0.107
V177,3.151,-1.935,0.097
V178,5.601,-2.012,0.055
V179,3.366,-1.941,0.072
V180,3.366,-1.941,0.072
V181,4.714,-1.805,0.166
V182,4.713,-1.805,0.166
V183,4.712,-1.805,0.167
V184,3.699,-0.623,0.246
V185,2.276,-2.199,0.071
V186,4.635,-0.790,0.195
V187,5.602,-2.012,0.055
V188,3.366,-1.940,0.073
V189,5.602,-2.012,0.056
V190,4.015,-1.252,0.178
V191,3.366,-1.940,0.073
V192,2.643,-1.806,0.099
V193,2.582,-1.813,0.107
V194,1.917,-1.793,0.135
V195,3.875,-2.037,0.251
V196,3.876,-2.036,0.252
V197,4.708,-1.806,0.168
V198,4.707,-1.807,0.168
V199,2.643,-1.806,0.100
V200,3.277,-1.479,0.131
V201,3.753,-1.666,0.076
V202,3.366,-1.940,0.073
V203,2.922,-1.553,0.105
V204,4.032,-1.193,0.194
V205,3.366,-1.940,0.073
V206,5.342,-0.613,0.227
V207,3.366,-1.940,0.074
V208,3.763,-0.989,0.226
V209,5.602,-2.013,0.056
V210,3.151,-1.934,0.098
V211,2.184,-2.530,0.086
V212,3.879,-2.034,0.254
V213,3.419,-1.666,0.111
V214,3.366,-1.940,0.074
V215,4.704,-1.807,0.168
V216,2.301,-1.866,0.127
V217,4.945,-0.002,0.092
V218,6.797,-0.668,0.229
V219,3.366,-1.939,0.074
V220,4.853,-1.644,0.054
V221,3.881,-2.032,0.255
V222,4.702,-1.808,0.169
V223,5.348,-0.915,0.244
V224,0.448,-19.503,0.297
V225,5.250,-0.976,0.215
V226,3.420,-1.666,0.111
V227,3.425,-1.689,0.089
V228,0.442,-19.769,0.298
V229,3.366,-1.939,0.074
V230,2.765,-1.225,0.210
V231,4.838,-1.015,0.187
V232,4.698,-1.809,0.170
V233,4.021,-1.250,0.179
V234,3.768,-0.987,0.227
V235,5.602,-2.013,0.056
V236,5.680,-0.519,0.397
V237,1.974,-1.318,0.106
V238,1.754,-1.904,0.115
V239,2.184,-2.529,0.086
V240,3.886,-2.028,0.259
V241,5.573,0.127,0.461
V242,5.602,-2.013,0.056
V243,3.773,-0.985,0.227
V244,3.755,-1.665,0.077
V245,3.367,-1.939,0.074
V246,3.694,-1.479,0.089
V247,3.367,-1.939,0.075
V248,3.071,-1.288,0.179
V249,5.602,-2.013,0.057
V250,2.313,-2.164,0.092
V251,4.696,-1.810,0.171
V252,4.695,-1.810,0.171
V253,4.694,-1.811,0.171
V254,3.151,-1.934,0.098
V255,5.965,-0.714,0.199
V256,5.602,-2.013,0.057
V257,4.693,-1.811,0.171
V258,5.602,-2.013,0.057
V259,4.853,-1.644,0.054
V260,5.771,-0.503,0.208
V261,3.069,-1.392,0.178
V262,0.401,-21.821,0.306
V263,4.500,-1.475,0.074
V264,2.285,-1.877,0.121
V265,3.893,-2.022,0.263
V266,2.188,-2.523,0.081
V267,3.778,-0.984,0.228
V268,2.184,-2.529,0.086
V269,3.757,-1.664,0.077
V270,3.367,-1.939,0.075
V271,2.276,-2.198,0.071
V272,5.602,-2.013,0.057
V273,1.339,-1.426,0.113
V274,3.367,-1.939,0.075
V275,4.034,-1.192,0.194
V276,4.689,-1.812,0.172
V277,5.602,-2.013,0.058
V278,2.417,-2.101,0.100
V279,2.441,-2.115,0.104
V280,1.401,-1.487,0.119
V281,5.602,-2.013,0.058
V282,1.350,-1.708,0.110
V283,3.421,-1.665,0.112
V284,3.278,-1.479,0.132
V285,5.351,-0.914,0.245
V286,3.896,-2.020,0.265
V287,3.367,-1.938,0.075
V288,3.948,-1.265,0.171
V289,5.602,-2.013,0.058
V290,1.583,-2.266,0.109
V291,5.735,-1.050,0.154
V292,2.901,-1.323,0.165
V293,3.073,-1.287,0.180
V294,4.687,-1.813,0.173
V295,17.805,0.280,0.089
V296,5.602,-2.013,0.058
V297,5.351,-1.019,0.267
V298,5.603,-2.013,0.059
V299,2.367,-2.140,0.100
V300,3.898,-2.019,0.266
V301,3.051,-1.507,0.118
